msa,ms_cara_per,ms_carp_per,ms_pt_per,ms_taxi_per,ms_bike_per,ms_walk_per,ms_wfh_per
"Abilene, TX",80.29113320182056,10.575175028043168,0.5105790430510966,0.9154321226421177,0.2656042496679947,1.9430369138333397,5.4990394409417345
"Aguadilla-Isabela, PR",83.0419112871388,10.144798339340067,0.41389147128866705,0.8290564547966837,0.37186556805012544,2.8017268825694384,2.3967499968162196
"Akron, OH",84.67359846893525,7.173656817439202,1.3032138355972551,0.6141180040143771,0.09685851654763572,1.5929141576809973,4.545640199785277
"Albany, GA",81.19073239626069,11.438227184074249,0.9953594727284956,0.9062478983119241,0.13114533593382205,1.5855134844306946,3.7527742282601384
"Albany-Lebanon, OR",79.29696924704442,11.196896865314304,0.1707466453852007,1.5033128561088325,0.6458677455874984,2.225274215400605,4.960932425159148
"Albany-Schenectady-Troy, NY",79.33849233484312,8.015634979203764,3.6182970781455577,0.8598335849644219,0.280517886118314,3.332137239369997,4.555086897354827
"Albuquerque, NM",80.62187150628898,9.559397011133996,1.510128290879588,1.057862494778298,0.7830742000835472,1.6559737478177512,4.811692749017837
"Alexandria, LA",81.33183139060306,9.687530610245862,1.627648806608548,2.8357331766088745,0.1779475626081562,2.0292552323113595,2.310053221014138
"Allentown-Bethlehem-Easton, PA-NJ",81.68253765260248,8.381208621486822,1.7129351814506213,1.0801451998465368,0.1871563062575625,2.3560544204302873,4.599962617925688
"Altoona, PA",83.10422798076232,8.594142559758811,1.1485176943507285,0.6909051755078601,0.18125044863972437,2.8712942358768214,3.409661905103725
"Amarillo, TX",83.1780174889896,10.613869917661328,0.2991957617923023,1.0100848918108125,0.20345311801876556,1.523903746728793,3.171475074998404
"Ames, IA",74.8535551816539,7.602667165202219,4.954197046176855,0.6590016825574874,1.6778837165825389,5.673957749111984,4.5787374587150245
"Anchorage, AK",75.72327364425992,11.513793015614255,1.3479711658473217,3.1875493517410023,1.0234595888840776,2.662828905473904,4.541124328179526
"Ann Arbor, MI",71.84635718717126,7.934615488360802,5.1482210773339085,0.6031343565397999,1.5542308418525612,7.009953335311413,5.903487713430259
"Anniston-Oxford, AL",84.37519859342895,10.525981316330205,0.3918910331094965,0.8197936746668926,0.0,1.3472578219331879,2.539877560531277
"Appleton, WI",85.50369908332215,6.338578636116002,0.4934742959108746,0.6908640142752245,0.37819870038609427,2.131019399461521,4.464165870528136
"Arecibo, PR",90.10201433391228,4.755345271605678,0.327404124493422,0.3693278233614821,0.0938292307999441,1.928490147930766,2.4235890678964283
"Asheville, NC",79.2053564306728,8.752997039323972,0.4358903376859806,0.9815743664575582,0.21771056693896126,1.9730020128843369,8.4334692460364
"Athens-Clarke County, GA",76.27869139438374,10.321178857184048,2.806067283829844,1.163616892010174,0.8917630340538147,2.9358157160362883,5.602866822502086
"Atlanta-Sandy Springs-Alpharetta, GA",77.34126738285919,9.220514985196285,3.0045644935533224,1.5657392424991767,0.1900209761597002,1.3221665821390083,7.3557263375933175
"Atlantic City-Hammonton, NJ",77.61252634362505,7.81774618768681,5.495500548908993,1.843853421265616,0.3942528827738735,3.660461724615964,3.1756588911237014
"Auburn-Opelika, AL",83.05470198854792,8.969447565416322,0.7228622094675997,0.8352171970814776,0.2734422590120883,2.159110906555846,3.9852178739187525
"Augusta-Richmond County, GA-SC",84.07494597843777,8.75980409210918,0.8191176413741384,1.5574445385070335,0.14573258650214732,1.5508730425639656,3.0920821205057734
"Austin-Round Rock-Georgetown, TX",76.25914249967488,9.15303793324574,2.024242478598367,1.1914958497199515,0.7616245958465809,1.8136566859643852,8.796799956950094
"Bakersfield, CA",80.53597994298212,12.06295675057344,0.817928034187021,1.8299658011249473,0.34613766084436254,1.0123341176749507,3.3946976926131613
"Baltimore-Columbia-Towson, MD",76.5049999750518,8.116575083024035,6.197345939538401,1.209417302786286,0.29973476502719,2.5918325305953993,5.080094403976885
"Bangor, ME",79.76437587657784,9.91444600280505,0.4221598877980365,1.3309957924263676,0.22440392706872372,3.784011220196353,4.55960729312763
"Barnstable Town, MA",79.80096722606501,7.562474711469915,1.4701065490067629,1.0327354000886304,0.4884298953777384,2.3458122194177378,7.299473998574209
"Baton Rouge, LA",84.79710406503652,8.659842035289122,0.847020303574924,0.8594764845098493,0.2595461374399752,1.524992437318718,3.0520185368308934
"Battle Creek, MI",82.4257721234033,9.021607517437795,0.9925473677029861,0.7537902689428176,0.33255453041594896,3.0629124955233045,3.410815696573836
"Bay City, MI",86.46283468328593,6.968361164795553,0.5906494972964756,0.4951032550867517,0.5081322881153504,1.341990401945669,3.6329287094742786
"Beaumont-Port Arthur, TX",88.25453643965825,7.566073901186941,0.4770744272385916,0.8041939014288046,0.06288433514932007,0.9245206581087536,1.9107163372293405
"Beckley, WV",80.98206601381685,10.667348980019074,0.26284571189318695,1.7538554581191412,0.039543160196320155,2.5005233653555394,3.793817310599893
"Bellingham, WA",76.30606457034271,8.56258892506899,2.5075675830524338,1.0341567754934446,1.7894827306322394,3.6983279699779414,6.101811445432236
"Bend, OR",74.44559051057246,9.278651030338365,0.26459178868533756,1.0101576339215643,1.6536986792833597,2.111128551247842,11.236181805951073
"Billings, MT",81.57780037774226,8.870237709406677,0.6157869444227136,0.9979995306161221,0.43809161926262025,3.1381664971669334,4.361917321382671
"Binghamton, NY",81.38810729694241,8.535921965860064,2.678671918964547,0.5908835115362971,0.23822922528606263,3.626899268429938,2.941286812980679
"Birmingham-Hoover, AL",84.43195384408526,9.27416890424522,0.576134034690277,0.8976119366497032,0.09473208137587653,1.0997070435849066,3.6256921553687627
