Geographic Area Name,Year,Auto,Annual Excess Fuel Consumed,Annual Hours of Delay,Travel Time Index,Freeway,Truck-based Statistics,Arterial Street,msa
"St., Cloud",2014.0,63,885,1995,1.08,,84,,
"St., George",2014.0,58,679,1130,1.04,,228,,
"St., Joseph",2014.0,46,603,1275,1.07,,72,,
"State, College",2014.0,48,526,1212,1.06,,31,,
"Sumter, SC",2014.0,41,603,1406,1.1,,88,,
"Syracuse, NY",2014.0,238,3013,7762,1.06,,279,,
"Tallahassee, FL",2014.0,139,3342,7163,1.14,,208,,
"Temple, TX",2014.0,53,962,2290,1.08,,152,,
"Terre, Haute",2014.0,53,752,1657,1.06,,104,,
"Texarkana, TX-AR",2014.0,46,947,2046,1.06,,94,,
"Texas, City",2014.0,65,990,2327,1.07,,108,,
"Thousand, Oaks",2014.0,125,2650,9086,1.21,,354,,
"Titusville, FL",2014.0,30,344,740,1.05,,34,,
"Topeka, KS",2014.0,83,1405,3308,1.08,,157,,
"Tracy, CA",2014.0,51,1154,3321,1.21,,186,,
"Trenton, NJ",2014.0,168,3225,8353,1.1,,302,,
"Turlock, CA",2014.0,56,1190,3073,1.15,,211,,
"Tuscaloosa, AL",2014.0,83,2034,4765,1.11,,171,,
"Twin, Rivers-Highstown",2014.0,37,723,1819,1.11,,70,,
"Tyler, TX",2014.0,83,2792,5117,1.17,,426,,
"Uniontown-Connellsville, PA",2014.0,28,366,916,1.05,,40,,
"Utica, NY",2014.0,67,864,2107,1.04,,82,,
"Vacaville, CA",2014.0,52,826,2506,1.08,,94,,
"Valdosta, GA",2014.0,45,856,1797,1.06,,106,,
"Vallejo, CA",2014.0,99,3003,7934,1.22,,381,,
"Victoria, TX",2014.0,38,945,1880,1.1,,108,,
"Victorville-Hesperia, CA",2014.0,191,2375,5580,1.09,,315,,
"Villas, NJ",2014.0,28,273,632,1.05,,26,,
"Vineland, NJ",2014.0,53,584,1467,1.06,,51,,
"Visalia, CA",2014.0,128,1873,4122,1.1,,349,,
"Waco, TX",2014.0,99,1625,3309,1.06,,244,,
"Waldorf, MD",2014.0,68,1092,2871,1.12,,90,,
"Walla, Walla-WA-OR",2014.0,32,285,587,1.06,,42,,
"Warner, Robins",2014.0,79,1023,2495,1.06,,91,,
"Waterbury, CT",2014.0,109,1447,3534,1.11,,176,,
"Waterloo, IA",2014.0,64,480,1297,1.04,,47,,
"Watsonville, CA",2014.0,41,596,1594,1.16,,62,,
"Wausau, WI",2014.0,43,500,1132,1.04,,61,,
"Weirton-Steubenville, WV-OH-PA",2014.0,40,588,1222,1.04,,105,,
"Wenatchee, WA",2014.0,40,755,1944,1.16,,67,,
"West, Bend",2014.0,39,338,787,1.04,,41,,
"Westminster-Eldersburg, MD",2014.0,42,700,1681,1.13,,77,,
"Wheeling, WV-OH",2014.0,56,1065,2266,1.04,,208,,
"Wichita, Falls",2014.0,57,718,1596,1.06,,62,,
"Williamsport, PA",2014.0,33,457,1075,1.05,,43,,
"Wilmington, NC",2014.0,129,2697,6346,1.12,,180,,
"Winchester, VA",2014.0,40,1133,2598,1.11,,119,,
"Winter, Haven",2014.0,113,1718,3569,1.09,,215,,
"Yakima, WA",2014.0,76,1180,2522,1.09,,160,,
"Yauco, PR",2014.0,49,227,594,1.12,,92,,
"York, PA",2014.0,134,2369,5217,1.09,,272,,
"Youngstown, OH-PA",2014.0,217,3121,7185,1.05,,350,,
"Yuba, City",2014.0,66,1081,2490,1.16,,143,,
"Yuma, AZ-CA",2014.0,77,1249,2661,1.09,,162,,
"Zephyrhills, FL",2014.0,37,539,1151,1.09,,63,,
