msa,auto_commuters,annual_excess_fuel_consumed_commuters,ahd_ph,tti
"Grants Pass, OR",31,541,1192,1.05
"Great Falls, MT",38,426,960,1.11
"Greeley, CO",79,1307,3312,1.16
"Green Bay, WI",121,1581,3703,1.06
"Greensboro-High Point, NC",172,3173,7697,1.13
"Greenville, NC",74,1942,4259,1.16
"Greenville-Anderson, SC",245,5500,13331,1.15
"Gulfport-Biloxi, MS",129,2386,5530,1.07
"Hagerstown-Martinsburg, MD-WV",112,1568,3367,1.04
"Hanford-Corcoran, CA",54,319,956,1.08
"Harrisburg-Carlisle, PA",267,5017,11662,1.1
"Harrisonburg, VA",42,745,1703,1.07
"Hartford-East Hartford-Middletown, CT",449,12053,28583,1.17
"Hattiesburg, MS",47,1018,2378,1.1
"Hickory-Lenoir-Morganton, NC",132,1839,4441,1.05
"Hilton Head Island-Bluffton, SC",43,800,2065,1.17
"Hinesville, GA",30,298,719,1.08
"Homosassa Springs, FL",50,719,1600,1.08
"Hot Springs, AR",32,637,1635,1.07
"Houston-The Woodlands-Sugar Land, TX",2616,105899,263239,1.34
"Huntington-Ashland, WV-KY-OH",117,1634,3952,1.06
"Huntsville, AL",174,3782,10482,1.12
"Idaho Falls, ID",57,631,1397,1.06
"Indianapolis-Carmel-Anderson, IN",812,21655,47617,1.18
"Iowa City, IA",71,878,2023,1.07
"Ithaca, NY",33,647,1637,1.17
"Jackson, MI",53,627,1575,1.07
"Jackson, MS",199,4989,12836,1.13
"Jackson, TN",43,1178,2316,1.08
"Jacksonville, FL",601,14458,40733,1.21
"Jacksonville, NC",63,1081,2557,1.11
"Janesville-Beloit, WI",42,595,1528,1.07
"Jefferson City, MO",32,575,1537,1.09
"Johnson City, TN",72,1256,2686,1.06
"Johnstown, PA",41,373,830,1.06
"Jonesboro, AR",42,853,1995,1.09
"Joplin, MO",50,841,1825,1.08
"Kahului-Wailuku-Lahaina, HI",36,950,2074,1.15
"Kalamazoo-Portage, MI",124,1625,3807,1.05
"Kankakee, IL",49,553,1158,1.05
"Kansas City, MO-KS",834,20971,51326,1.16
"Kennewick-Richland, WA",135,1809,4270,1.08
"Killeen-Temple, TX",129,1599,3639,1.1
"Kingsport-Bristol, TN-VA",62,884,2159,1.05
"Kingston, NY",64,797,2122,1.04
"Knoxville, TN",315,7705,17570,1.14
"Kokomo, IN",38,379,844,1.06
"La Crosse-Onalaska, WI-MN",60,866,1865,1.07
"Lafayette-West Lafayette, IN",94,1391,2862,1.12
"Lake Havasu City-Kingman, AZ",32,215,498,1.07
"Lakeland-Winter Haven, FL",168,2907,6359,1.1
"Lancaster, PA",232,3483,7871,1.08
"Lansing-East Lansing, MI",180,2139,5135,1.06
"Laredo, TX",138,3755,7487,1.17
"Las Cruces, NM",77,1328,2978,1.08
"Las Vegas-Henderson-Paradise, NV",1060,24594,60761,1.25
"Lawrence, KS",55,744,1655,1.08
"Lawton, OK",59,476,1078,1.05
"Lebanon, PA",48,332,762,1.08
"Lewiston, ID-WA",31,353,770,1.08
"Lewiston-Auburn, ME",36,659,1534,1.08
"Lexington-Fayette, KY",175,5165,10993,1.18
"Lima, OH",45,448,1016,1.06
"Lincoln, NE",160,2393,5316,1.09
"Little Rock-North Little Rock-Conway, AR",246,10582,20266,1.14
"Logan, UT-ID",62,492,864,1.07
"Longview, TX",61,1643,3569,1.13
"Longview, WA",39,677,1554,1.08
"Los Angeles-Long Beach-Anaheim, CA",5796,345453,952183,1.52
"Louisville/Jefferson County, KY-IN",587,13501,30610,1.17
"Lubbock, TX",145,2181,4929,1.09
"Lynchburg, VA",72,1546,3651,1.11
"Macon-Bibb County, GA",80,1548,3636,1.06
"Madera, CA",52,673,1486,1.11
"Madison, WI",201,5182,12064,1.16
"Manhattan, KS",34,291,694,1.07
"Mankato, MN",35,300,768,1.06
"Mansfield, OH",45,500,1123,1.04
"McAllen-Edinburg-Mission, TX",413,9266,22555,1.17
"Medford, OR",97,1317,2930,1.08
"Memphis, TN-MS-AR",575,15133,31809,1.18
"Merced, CA",84,871,2030,1.09
"Miami-Fort Lauderdale-Pompano Beach, FL",2827,120912,309019,1.34
"Michigan City-La Porte, IN",40,356,794,1.05
"Midland, MI",35,359,921,1.05
"Midland, TX",81,2718,4805,1.11
"Minneapolis-St. Paul-Bloomington, MN-WI",1417,40837,110297,1.26
"Missoula, MT",52,971,2263,1.13
"Mobile, AL",194,5148,12298,1.11
"Modesto, CA",207,4659,11489,1.22
"Monroe, LA",70,1043,2210,1.08
"Monroe, MI",35,335,767,1.04
"Montgomery, AL",165,3075,7000,1.09
"Morgantown, WV",44,459,1089,1.06
"Morristown, TN",36,570,1294,1.09
"Mount Vernon-Anacortes, WA",40,682,1583,1.1
"Muncie, IN",53,473,1065,1.06
"Muskegon, MI",92,795,1852,1.05
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",152,3777,8900,1.14
"Napa, CA",48,1820,4190,1.2
"Nashville-Davidson--Murfreesboro--Franklin, TN",629,25006,59525,1.23
"New Bern, NC",29,387,922,1.07
"New Haven-Milford, CT",265,6472,15397,1.15
"New York-Newark-Jersey City, NY-NJ-PA",6005,335880,846704,1.36
"North Port-Sarasota-Bradenton, FL",113,1541,3331,1.09
"Norwich-New London, CT",126,1589,3983,1.06
"Ocala, FL",100,2226,4704,1.1
"Odessa, TX",85,2737,4949,1.11
"Ogden-Clearfield, UT",328,4179,8503,1.1
"Oklahoma City, OK",555,16039,41004,1.2
"Olympia-Lacey-Tumwater, WA",115,2283,5551,1.12
"Omaha-Council Bluffs, NE-IA",409,9137,22404,1.18
"Orlando-Kissimmee-Sanford, FL",879,28577,71267,1.24
"Oshkosh-Neenah, WI",48,458,1012,1.05
"Owensboro, KY",42,606,1188,1.07
"Oxnard-Thousand Oaks-Ventura, CA",191,2413,6499,1.16
"Palm Bay-Melbourne-Titusville, FL",274,5429,11076,1.1
"Panama City, FL",92,2345,4861,1.15
"Parkersburg-Vienna, WV",40,458,1013,1.05
"Pensacola-Ferry Pass-Brent, FL",182,4539,10537,1.16
"Peoria, IL",153,1578,3731,1.05
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2308,69310,172804,1.24
"Phoenix-Mesa-Chandler, AZ",2128,67049,168382,1.29
"Pine Bluff, AR",31,404,867,1.05
"Pittsburgh, PA",847,19340,44556,1.18
"Pittsfield, MA",34,522,1214,1.08
"Pocatello, ID",43,465,1040,1.07
"Port St. Lucie, FL",241,4999,10029,1.11
"Portland-South Portland, ME",117,2463,5830,1.1
"Portland-Vancouver-Hillsboro, OR-WA",909,35070,78309,1.35
"Poughkeepsie-Newburgh-Middletown, NY",203,3611,8682,1.1
"Prescott Valley-Prescott, AZ",57,954,2054,1.09
"Providence-Warwick, RI-MA",614,15652,37425,1.16
"Provo-Orem, UT",263,5132,9621,1.12
"Pueblo, CO",82,1165,3125,1.11
"Racine, WI",77,1378,2886,1.12
"Raleigh-Cary, NC",541,9615,26220,1.17
"Rapid City, SD",53,840,2010,1.07
"Reading, PA",155,2469,5558,1.08
"Redding, CA",69,1358,3148,1.1
"Reno, NV",244,4728,11229,1.13
"Richmond, VA",515,9287,23510,1.12
"Riverside-San Bernardino-Ontario, CA",1127,33296,99863,1.33
"Roanoke, VA",122,2511,5684,1.1
"Rochester, MN",66,912,2323,1.1
"Rochester, NY",359,7115,16489,1.16
"Rockford, IL",169,2579,5627,1.07
"Rocky Mount, NC",41,537,1220,1.05
"Rome, GA",36,1184,2720,1.11
"Sacramento-Roseville-Folsom, CA",940,23239,71079,1.27
"Saginaw, MI",70,985,2181,1.05
"Salem, OR",130,3162,6772,1.15
"Salinas, CA",107,2284,5420,1.15
"Salisbury, MD-DE",59,863,1994,1.09
"Salt Lake City, UT",544,14916,29571,1.17
"San Angelo, TX",58,1186,2421,1.1
"San Antonio-New Braunfels, TX",1040,28260,71905,1.23
"San Diego-Chula Vista-Carlsbad, CA",1450,34240,145568,1.34
"San Francisco-Oakland-Berkeley, CA",1299,92997,255724,1.51
"San Jose-Sunnyvale-Santa Clara, CA",1014,41655,118687,1.44
"San Luis Obispo-Paso Robles, CA",35,636,1600,1.12
"Santa Cruz-Watsonville, CA",100,4393,10612,1.21
"Santa Fe, NM",54,1293,2803,1.11
"Santa Maria-Santa Barbara, CA",79,1016,2314,1.13
"Santa Rosa-Petaluma, CA",173,6630,18461,1.21
"Savannah, GA",157,4418,9878,1.11
"Scranton--Wilkes-Barre, PA",216,3193,7726,1.06
"Seattle-Tacoma-Bellevue, WA",1588,67508,168998,1.37
"Sebastian-Vero Beach, FL",93,1142,2529,1.09
"Sebring-Avon Park, FL",36,455,1039,1.11
"Sheboygan, WI",43,397,845,1.06
"Sherman-Denison, TX",43,667,1476,1.06
"Sierra Vista-Douglas, AZ",29,256,583,1.08
"Sioux City, IA-NE-SD",64,631,1587,1.07
"Sioux Falls, SD",99,1546,3529,1.07
"South Bend-Mishawaka, IN-MI",157,1647,3716,1.06
"Spartanburg, SC",117,2127,5577,1.1
"Spokane-Spokane Valley, WA",215,5777,11913,1.16
"Springfield, IL",93,1090,2510,1.06
"Springfield, MA",311,6986,15218,1.11
"Springfield, MO",165,4020,10702,1.17
"Springfield, OH",50,384,888,1.04
"St. Cloud, MN",67,901,2054,1.07
"St. George, UT",66,887,1537,1.05
"St. Joseph, MO-KS",45,595,1259,1.06
"St. Louis, MO-IL",1117,29582,71517,1.14
"State College, PA",54,550,1282,1.07
"Staunton, VA",34,525,1245,1.06
"Stockton, CA",206,4031,10797,1.17
"Sumter, SC",44,653,1528,1.11
"Syracuse, NY",239,3081,7819,1.07
"Tallahassee, FL",143,3454,7460,1.15
"Tampa-St. Petersburg-Clearwater, FL",1380,40492,98821,1.25
"Terre Haute, IN",55,861,1905,1.07
"Texarkana, TX-AR",50,1050,2269,1.06
"Toledo, OH",263,4075,11042,1.13
"Topeka, KS",85,1422,3264,1.07
"Trenton-Princeton, NJ",167,3275,8467,1.11
"Tucson, AZ",433,13696,31552,1.2
"Tulsa, OK",399,8317,21870,1.13
"Tuscaloosa, AL",85,2173,5089,1.12
"Twin Falls, ID",40,767,1912,1.11
"Tyler, TX",84,3048,5666,1.18
"Utica-Rome, NY",69,916,2208,1.05
"Valdosta, GA",48,912,1910,1.06
"Vallejo, CA",100,3134,8150,1.21
"Victoria, TX",41,991,1972,1.11
"Vineland-Bridgeton, NJ",55,620,1505,1.07
"Virginia Beach-Norfolk-Newport News, VA-NC",751,14318,38378,1.16
"Visalia, CA",131,1940,4387,1.12
"Waco, TX",107,2912,5929,1.09
"Walla Walla, WA",33,317,726,1.07
"Warner Robins, GA",85,1073,2619,1.07
"Waterloo-Cedar Falls, IA",67,491,1328,1.05
"Watertown-Fort Drum, NY",32,331,790,1.04
"Wausau-Weston, WI",46,526,1213,1.04
"Weirton-Steubenville, WV-OH",40,572,1196,1.04
"Wenatchee, WA",43,805,2061,1.16
"Wheeling, WV-OH",58,1004,2133,1.04
"Wichita Falls, TX",59,864,1922,1.07
"Wichita, KS",278,4021,10790,1.13
"Williamsport, PA",31,439,1054,1.04
"Wilmington, NC",145,3014,7113,1.14
"Winchester, VA-WV",41,1118,2610,1.1
"Winston-Salem, NC",217,2794,7752,1.1
"Worcester, MA-CT",251,5575,13085,1.13
"Yakima, WA",77,1385,2961,1.11
"York-Hanover, PA",134,2418,5225,1.09
"Youngstown-Warren-Boardman, OH-PA",220,3014,6885,1.05
"Yuba City, CA",69,1117,2573,1.16
"Yuma, AZ",78,1248,2689,1.09
