msa,med_hh_inc_dol,households
"Indianapolis-Carmel-Anderson, IN",61552,776607
"Iowa City, IA",62544,67966
"Ithaca, NY",60240,39618
"Jackson, MI",53658,61805
"Jackson, MS",52504,217785
"Jackson, TN",46875,68815
"Jacksonville, FL",61723,563946
"Jacksonville, NC",50278,64386
"Janesville-Beloit, WI",57875,64739
"Jefferson City, MO",59186,56683
"Johnson City, TN",44439,85301
"Johnstown, PA",46659,56674
"Jonesboro, AR",46068,50901
"Joplin, MO",49098,67961
"Kahului-Wailuku-Lahaina, HI",80948,54479
"Kalamazoo-Portage, MI",56511,103445
"Kankakee, IL",58902,39796
"Kansas City, MO-KS",66632,830500
"Kennewick-Richland, WA",67310,98844
"Killeen-Temple, TX",54798,152818
"Kingsport-Bristol, TN-VA",44869,128074
"Kingston, NY",64304,69320
"Knoxville, TN",54636,341209
"Kokomo, IN",52373,34701
"La Crosse-Onalaska, WI-MN",58501,55771
"Lafayette, LA",51955,181798
"Lafayette-West Lafayette, IN",53321,85317
"Lake Charles, LA",51196,80514
"Lake Havasu City-Kingman, AZ",45587,86889
"Lakeland-Winter Haven, FL",50584,235283
"Lancaster, PA",66056,201620
"Lansing-East Lansing, MI",57925,214641
"Laredo, TX",46475,74789
"Las Cruces, NM",40973,77842
"Las Vegas-Henderson-Paradise, NV",59340,783524
"Lawrence, KS",59435,46936
"Lawton, OK",52076,45037
"Lebanon, PA",60281,53579
"Lewiston, ID-WA",56430,25485
"Lewiston-Auburn, ME",53509,45630
"Lexington-Fayette, KY",58685,202126
"Lima, OH",53131,40650
"Lincoln, NE",61031,130924
"Little Rock-North Little Rock-Conway, AR",54746,284127
"Logan, UT-ID",58809,42790
"Longview, TX",51580,100968
"Longview, WA",54506,41952
"Los Angeles-Long Beach-Anaheim, CA",72998,4354287
"Louisville/Jefferson County, KY-IN",59158,491443
"Lubbock, TX",51942,117703
"Lynchburg, VA",53798,100912
"Macon-Bibb County, GA",44332,86131
"Madera, CA",57585,44881
"Madison, WI",72374,271938
"Manchester-Nashua, NH",81460,161086
"Manhattan, KS",54141,47872
"Mankato, MN",60827,38976
"Mansfield, OH",49547,48449
"Mayagüez, PR",15197,38645
"McAllen-Edinburg-Mission, TX",40014,238345
"Medford, OR",53412,88241
"Memphis, TN-MS-AR",53209,497232
"Merced, CA",53672,80008
"Miami-Fort Lauderdale-Pompano Beach, FL",56775,2127517
"Michigan City-La Porte, IN",53658,43039
"Midland, MI",62625,34199
"Midland, TX",79140,58692
"Milwaukee-Waukesha, WI",62389,631092
"Minneapolis-St. Paul-Bloomington, MN-WI",80421,1373979
"Missoula, MT",54062,49313
"Mobile, AL",47302,162241
"Modesto, CA",60704,173898
"Monroe, LA",40119,73870
"Monroe, MI",62203,59929
"Montgomery, AL",52649,144883
"Morgantown, WV",52332,51895
"Morristown, TN",45878,53569
"Mount Vernon-Anacortes, WA",67028,48493
"Muncie, IN",43512,46026
"Muskegon, MI",50854,65939
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",52660,187199
"Napa, CA",88596,48705
"Naples-Marco Island, FL",69653,142979
"Nashville-Davidson--Murfreesboro--Franklin, TN",66347,708788
"New Bern, NC",51017,50687
"New Haven-Milford, CT",69905,330572
"New Orleans-Metairie, LA",53084,482358
"New York-Newark-Jersey City, NY-NJ-PA",78773,6997001
"Niles, MI",50795,63665
"North Port-Sarasota-Bradenton, FL",60810,328198
"Norwich-New London, CT",73490,107827
"Ocala, FL",45371,139172
"Ocean City, NJ",67074,40171
"Odessa, TX",62973,52530
"Ogden-Clearfield, UT",75062,209117
"Oklahoma City, OK",59084,515208
"Olympia-Lacey-Tumwater, WA",72003,109983
"Omaha-Council Bluffs, NE-IA",67885,359324
"Orlando-Kissimmee-Sanford, FL",58368,872831
"Oshkosh-Neenah, WI",58543,70594
"Owensboro, KY",52046,47299
"Oxnard-Thousand Oaks-Ventura, CA",88131,271040
"Palm Bay-Melbourne-Titusville, FL",56775,230417
"Panama City, FL",54316,71422
"Parkersburg-Vienna, WV",47218,37993
"Pensacola-Ferry Pass-Brent, FL",56007,183618
"Peoria, IL",59397,163182
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",72343,2280112
"Phoenix-Mesa-Chandler, AZ",63883,1693396
"Pine Bluff, AR",41798,33791
"Pittsburgh, PA",60535,1009415
"Pittsfield, MA",59230,54813
"Pocatello, ID",51429,33788
"Ponce, PR",17683,81129
"Portland-South Portland, ME",70266,221938
"Portland-Vancouver-Hillsboro, OR-WA",74792,938646
"Port St. Lucie, FL",55153,179289
"Poughkeepsie-Newburgh-Middletown, NY",80534,236429
"Prescott Valley-Prescott, AZ",52451,98386
"Providence-Warwick, RI-MA",67818,628401
"Provo-Orem, UT",74387,169455
"Pueblo, CO",46783,64314
"Punta Gorda, FL",51499,76891
"Racine, WI",61336,76974
"Raleigh-Cary, NC",75851,494521
"Rapid City, SD",57615,55101
"Reading, PA",63728,154712
"Redding, CA",54667,71181
"Reno, NV",64801,183807
"Richmond, VA",68529,481217
"Riverside-San Bernardino-Ontario, CA",65121,1360934
"Roanoke, VA",56596,128432
"Rochester, MN",73697,87500
"Rochester, NY",60102,433113
"Rockford, IL",56027,133350
"Rocky Mount, NC",44559,58162
"Rome, GA",48336,35679
"Sacramento-Roseville-Folsom, CA",72280,831150
"Saginaw, MI",48000,78933
"St. Cloud, MN",61985,75931
"St. George, UT",59839,57144
"St. Joseph, MO-KS",52810,47117
"St. Louis, MO-IL",63705,1126934
"Salem, OR",60178,148343
"Salinas, CA",71015,127155
"Salisbury, MD-DE",60446,160153
"Salt Lake City, UT",74842,395298
"San Angelo, TX",53883,44454
"San Antonio-New Braunfels, TX",60327,811335
"San Diego-Chula Vista-Carlsbad, CA",78980,1125286
"San Francisco-Oakland-Berkeley, CA",106025,1703275
"San Germán, PR",16151,41921
"San Jose-Sunnyvale-Santa Clara, CA",122478,658350
"San Juan-Bayamón-Caguas, PR",23156,760282
"San Luis Obispo-Paso Robles, CA",73518,105981
"Santa Cruz-Watsonville, CA",82234,95818
"Santa Fe, NM",61200,61921
"Santa Maria-Santa Barbara, CA",74624,145856
"Santa Rosa-Petaluma, CA",81018,189374
"Savannah, GA",59459,142788
"Scranton--Wilkes-Barre, PA",53491,226611
"Seattle-Tacoma-Bellevue, WA",86856,1499147
"Sebastian-Vero Beach, FL",54740,58612
"Sebring-Avon Park, FL",40942,41740
"Sheboygan, WI",60696,47738
"Sherman-Denison, TX",54815,48454
"Shreveport-Bossier City, LA",46407,156062
"Sierra Vista-Douglas, AZ",49260,50163
"Sioux City, IA-NE-SD",59937,55391
"Sioux Falls, SD",65621,102294
"South Bend-Mishawaka, IN-MI",53323,122891
"Spartanburg, SC",52332,116645
"Spokane-Spokane Valley, WA",56410,220365
"Springfield, IL",62533,88899
"Springfield, MA",59419,268830
"Springfield, MO",48549,188342
"Springfield, OH",50873,54696
"State College, PA",60403,58201
"Staunton, VA",57140,49329
"Stockton, CA",64432,228567
"Sumter, SC",44486,54937
"Syracuse, NY",60337,257280
"Tallahassee, FL",51874,147777
"Tampa-St. Petersburg-Clearwater, FL",55285,1213267
"Terre Haute, IN",48591,72902
"Texarkana, TX-AR",47377,55865
"The Villages, FL",57226,56230
"Toledo, OH",52601,265076
"Topeka, KS",57603,94658
"Trenton-Princeton, NJ",81057,129936
"Tucson, AZ",53379,404739
"Tulsa, OK",55739,382217
"Tuscaloosa, AL",50408,88699
"Twin Falls, ID",52919,39168
"Tyler, TX",56810,77678
"Urban Honolulu, HI",85857,312795
"Utica-Rome, NY",55757,114253
"Valdosta, GA",41647,52892
"Vallejo, CA",81472,149865
"Victoria, TX",57163,34982
"Vineland-Bridgeton, NJ",54149,50729
"Virginia Beach-Norfolk-Newport News, VA-NC",66759,663821
"Visalia, CA",49687,138238
"Waco, TX",49077,95253
"Walla Walla, WA",57858,22646
"Warner Robins, GA",58832,67192
"Washington-Arlington-Alexandria, DC-VA-MD-WV",103751,2216997
"Waterloo-Cedar Falls, IA",57495,67736
"Watertown-Fort Drum, NY",52685,42734
"Wausau-Weston, WI",61783,68091
"Weirton-Steubenville, WV-OH",47314,49911
"Wenatchee, WA",59757,43647
"Wheeling, WV-OH",50390,55420
"Wichita, KS",57379,244805
"Wichita Falls, TX",49779,55913
"Williamsport, PA",54241,45608
"Wilmington, NC",55265,117378
"Winchester, VA-WV",67072,51281
"Winston-Salem, NC",50774,264877
"Worcester, MA-CT",73408,354904
"Yakima, WA",51637,83048
"Yauco, PR",15463,29878
"York-Hanover, PA",66457,172421
"Youngstown-Warren-Boardman, OH-PA",47360,230433
"Yuba City, CA",58551,58990
"Yuma, AZ",45243,73098
