msa,unemp
"Kingston, NY",5.1
"Knoxville, TN",4.9
"Kokomo, IN",5.1
"La Crosse-Onalaska, WI-MN",3.3
"Lafayette, LA",6.5
"Lafayette-West Lafayette, IN",4.0
"Lake Charles, LA",5.6
"Lake Havasu City-Kingman, AZ",8.0
"Lakeland-Winter Haven, FL",5.9
"Lancaster, PA",3.7
"Lansing-East Lansing, MI",5.6
"Laredo, TX",4.9
"Las Cruces, NM",7.7
"Las Vegas-Henderson-Paradise, NV",6.4
"Lawrence, KS",4.2
"Lawton, OK",7.5
"Lebanon, PA",4.4
"Lewiston, ID-WA",4.8
"Lewiston-Auburn, ME",3.9
"Lexington-Fayette, KY",5.0
"Lima, OH",5.4
"Lincoln, NE",3.2
"Little Rock-North Little Rock-Conway, AR",4.2
"Logan, UT-ID",2.5
"Longview, TX",5.4
"Longview, WA",6.6
"Los Angeles-Long Beach-Anaheim, CA",5.7
"Louisville/Jefferson County, KY-IN",5.0
"Lubbock, TX",3.9
"Lynchburg, VA",4.5
"Macon-Bibb County, GA",7.0
"Madera, CA",8.7
"Madison, WI",2.6
"Manchester-Nashua, NH",4.0
"Manhattan, KS",5.0
"Mankato, MN",3.6
"Mansfield, OH",5.3
"Mayagüez, PR",24.3
"McAllen-Edinburg-Mission, TX",6.9
"Medford, OR",5.9
"Memphis, TN-MS-AR",6.8
"Merced, CA",11.9
"Miami-Fort Lauderdale-Pompano Beach, FL",5.7
"Michigan City-La Porte, IN",6.1
"Midland, MI",5.2
"Midland, TX",3.3
"Milwaukee-Waukesha, WI",4.3
"Minneapolis-St. Paul-Bloomington, MN-WI",3.6
"Missoula, MT",4.4
"Mobile, AL",5.9
"Modesto, CA",9.1
"Monroe, LA",6.0
"Monroe, MI",4.8
"Montgomery, AL",5.8
"Morgantown, WV",6.8
"Morristown, TN",6.2
"Mount Vernon-Anacortes, WA",5.5
"Muncie, IN",6.6
"Muskegon, MI",6.5
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",5.9
"Napa, CA",4.5
"Naples-Marco Island, FL",3.9
"Nashville-Davidson--Murfreesboro--Franklin, TN",3.9
"New Bern, NC",7.1
"New Haven-Milford, CT",6.4
"New Orleans-Metairie, LA",6.3
"New York-Newark-Jersey City, NY-NJ-PA",5.5
"Niles, MI",5.9
"North Port-Sarasota-Bradenton, FL",5.1
"Norwich-New London, CT",5.9
"Ocala, FL",8.3
"Ocean City, NJ",6.8
"Odessa, TX",6.1
"Ogden-Clearfield, UT",3.2
"Oklahoma City, OK",4.3
"Olympia-Lacey-Tumwater, WA",6.4
"Omaha-Council Bluffs, NE-IA",3.6
"Orlando-Kissimmee-Sanford, FL",5.2
"Oshkosh-Neenah, WI",3.1
"Owensboro, KY",5.3
"Oxnard-Thousand Oaks-Ventura, CA",5.1
"Palm Bay-Melbourne-Titusville, FL",5.2
"Panama City, FL",5.1
"Parkersburg-Vienna, WV",4.6
"Pensacola-Ferry Pass-Brent, FL",5.9
"Peoria, IL",5.9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6.1
"Phoenix-Mesa-Chandler, AZ",5.2
"Pine Bluff, AR",8.2
"Pittsburgh, PA",4.8
"Pittsfield, MA",4.8
