msa,municipality
"Charlotte-Concord-Gastonia, NC-SC","['Anson County, NC', 'Cabarrus County, NC', 'Gaston County, NC', 'Iredell County, NC', 'Lincoln County, NC', 'Mecklenburg County, NC', 'Rowan County, NC', 'Union County, NC', 'Chester County, SC', 'Lancaster County, SC', 'York County, SC']"
"Charlottesville, VA","['Fluvanna County, VA', 'Greene County, VA', 'Nelson County, VA', 'Albemarle County, VA', 'Charlottesville, VA']"
"Chattanooga, TN-GA","['Catoosa County, GA', 'Dade County, GA', 'Walker County, GA', 'Hamilton County, TN', 'Marion County, TN', 'Sequatchie County, TN']"
"Cheyenne, WY","['Laramie County, WY']"
"Chicago-Naperville-Elgin, IL-IN-WI","['Cook County, IL', 'DeKalb County, IL', 'DuPage County, IL', 'Grundy County, IL', 'Kane County, IL', 'Kendall County, IL', 'Lake County, IL', 'McHenry County, IL', 'Will County, IL', 'Jasper County, IN', 'Lake County, IN', 'Newton County, IN', 'Porter County, IN', 'Kenosha County, WI']"
"Chico, CA","['Butte County, CA']"
"Cincinnati, OH-KY-IN","['Dearborn County, IN', 'Franklin County, IN', 'Ohio County, IN', 'Union County, IN', 'Boone County, KY', 'Bracken County, KY', 'Campbell County, KY', 'Gallatin County, KY', 'Grant County, KY', 'Kenton County, KY', 'Pendleton County, KY', 'Brown County, OH', 'Butler County, OH', 'Clermont County, OH', 'Hamilton County, OH', 'Warren County, OH']"
"Clarksville, TN-KY","['Christian County, KY', 'Trigg County, KY', 'Montgomery County, TN', 'Stewart County, TN']"
"Cleveland, TN","['Bradley County, TN', 'Polk County, TN']"
"Cleveland-Elyria, OH","['Cuyahoga County, OH', 'Geauga County, OH', 'Lake County, OH', 'Lorain County, OH', 'Medina County, OH']"
"Coeur d'Alene, ID","['Kootenai County, ID']"
"College Station-Bryan, TX","['Brazos County, TX', 'Burleson County, TX', 'Robertson County, TX']"
"Colorado Springs, CO","['El Paso County, CO', 'Teller County, CO']"
"Columbia, MO","['Boone County, MO', 'Cooper County, MO', 'Howard County, MO']"
"Columbia, SC","['Calhoun County, SC', 'Fairfield County, SC', 'Kershaw County, SC', 'Lexington County, SC', 'Richland County, SC', 'Saluda County, SC']"
"Columbus, GA-AL","['Russell County, AL', 'Chattahoochee County, GA', 'Harris County, GA', 'Marion County, GA', 'Muscogee County, GA', 'Stewart County, GA', 'Talbot County, GA']"
"Columbus, IN","['Bartholomew County, IN']"
"Columbus, OH","['Delaware County, OH', 'Fairfield County, OH', 'Franklin County, OH', 'Hocking County, OH', 'Licking County, OH', 'Madison County, OH', 'Morrow County, OH', 'Perry County, OH', 'Pickaway County, OH', 'Union County, OH']"
"Corpus Christi, TX","['Nueces County, TX', 'San Patricio County, TX']"
"Corvallis, OR","['Benton County, OR']"
"Crestview-Fort Walton Beach-Destin, FL","['Okaloosa County, FL', 'Walton County, FL']"
"Cumberland, MD-WV","['Allegany County, MD', 'Mineral County, WV']"
"Dallas-Fort Worth-Arlington, TX","['Collin County, TX', 'Dallas County, TX', 'Denton County, TX', 'Ellis County, TX', 'Hunt County, TX', 'Johnson County, TX', 'Kaufman County, TX', 'Parker County, TX', 'Rockwall County, TX', 'Tarrant County, TX', 'Wise County, TX']"
"Dalton, GA","['Murray County, GA', 'Whitfield County, GA']"
"Danville, IL","['Vermilion County, IL']"
"Daphne-Fairhope-Foley, AL","['Baldwin County, AL']"
"Davenport-Moline-Rock Island, IA-IL","['Henry County, IL', 'Mercer County, IL', 'Rock Island County, IL', 'Scott County, IA']"
"Dayton-Kettering, OH","['Greene County, OH', 'Miami County, OH', 'Montgomery County, OH']"
"Decatur, AL","['Lawrence County, AL', 'Morgan County, AL']"
"Decatur, IL","['Macon County, IL']"
"Deltona-Daytona Beach-Ormond Beach, FL","['Flagler County, FL', 'Volusia County, FL']"
"Denver-Aurora-Lakewood, CO","['Adams County, CO', 'Arapahoe County, CO', 'Broomfield County, CO', 'Clear Creek County, CO', 'Denver County, CO', 'Douglas County, CO', 'Elbert County, CO', 'Gilpin County, CO', 'Jefferson County, CO', 'Park County, CO']"
"Des Moines-West Des Moines, IA","['Dallas County, IA', 'Guthrie County, IA', 'Jasper County, IA', 'Madison County, IA', 'Polk County, IA', 'Warren County, IA']"
"Detroit-Warren-Dearborn, MI","['Lapeer County, MI', 'Livingston County, MI', 'Macomb County, MI', 'Oakland County, MI', 'St. Clair County, MI', 'Wayne County, MI']"
"Dothan, AL","['Geneva County, AL', 'Henry County, AL', 'Houston County, AL']"
"Dover, DE","['Kent County, DE']"
"Dubuque, IA","['Dubuque County, IA']"
"Duluth, MN-WI","['Carlton County, MN', 'Lake County, MN', 'St. Louis County, MN', 'Douglas County, WI']"
"Durham-Chapel Hill, NC","['Chatham County, NC', 'Durham County, NC', 'Granville County, NC', 'Orange County, NC', 'Person County, NC']"
"East Stroudsburg, PA","['Monroe County, PA']"
"Eau Claire, WI","['Chippewa County, WI', 'Eau Claire County, WI']"
"El Centro, CA","['Imperial County, CA']"
"Elizabethtown-Fort Knox, KY","['Hardin County, KY', 'Larue County, KY', 'Meade County, KY']"
"Elkhart-Goshen, IN","['Elkhart County, IN']"
"Elmira, NY","['Chemung County, NY']"
"El Paso, TX","['El Paso County, TX', 'Hudspeth County, TX']"
"Enid, OK","['Garfield County, OK']"
"Erie, PA","['Erie County, PA']"
"Eugene-Springfield, OR","['Lane County, OR']"
"Evansville, IN-KY","['Posey County, IN', 'Vanderburgh County, IN', 'Warrick County, IN', 'Henderson County, KY']"
"Fairbanks, AK","['Fairbanks North Star Borough County, AK']"
"Fargo, ND-MN","['Clay County, MN', 'Cass County, ND']"
"Farmington, NM","['San Juan County, NM']"
"Fayetteville, NC","['Cumberland County, NC', 'Harnett County, NC', 'Hoke County, NC']"
"Fayetteville-Springdale-Rogers, AR","['Benton County, AR', 'Madison County, AR', 'Washington County, AR']"
"Flagstaff, AZ","['Coconino County, AZ']"
"Flint, MI","['Genesee County, MI']"
"Florence, SC","['Darlington County, SC', 'Florence County, SC']"
"Florence-Muscle Shoals, AL","['Colbert County, AL', 'Lauderdale County, AL']"
"Fond du Lac, WI","['Fond du Lac County, WI']"
