msa,municipality
"Reno, NV","['Storey County, NV', 'Washoe County, NV']"
"Richmond, VA","['Amelia County, VA', 'Charles City County, VA', 'Chesterfield County, VA', 'Goochland County, VA', 'Hanover County, VA', 'Henrico County, VA', 'King and Queen County, VA', 'King William County, VA', 'New Kent County, VA', 'Powhatan County, VA', 'Sussex County, VA', 'Richmond, VA', 'Dinwiddie County, VA', 'Colonial Heights, VA', 'Petersburg, VA', 'Prince George County, VA', 'Hopewell, VA']"
"Riverside-San Bernardino-Ontario, CA","['Riverside County, CA', 'San Bernardino County, CA']"
"Roanoke, VA","['Botetourt County, VA', 'Craig County, VA', 'Franklin County, VA', 'Roanoke, VA', 'Roanoke County, VA', 'Salem, VA']"
"Rochester, MN","['Dodge County, MN', 'Fillmore County, MN', 'Olmsted County, MN', 'Wabasha County, MN']"
"Rochester, NY","['Livingston County, NY', 'Monroe County, NY', 'Ontario County, NY', 'Orleans County, NY', 'Wayne County, NY', 'Yates County, NY']"
"Rockford, IL","['Boone County, IL', 'Winnebago County, IL']"
"Rocky Mount, NC","['Edgecombe County, NC', 'Nash County, NC']"
"Rome, GA","['Floyd County, GA']"
"Sacramento-Roseville-Folsom, CA","['El Dorado County, CA', 'Placer County, CA', 'Sacramento County, CA', 'Yolo County, CA']"
"Saginaw, MI","['Saginaw County, MI']"
"St. Cloud, MN","['Benton County, MN', 'Stearns County, MN']"
"St. George, UT","['Washington County, UT']"
"St. Joseph, MO-KS","['Doniphan County, KS', 'Andrew County, MO', 'Buchanan County, MO', 'DeKalb County, MO']"
"St. Louis, MO-IL","['Bond County, IL', 'Calhoun County, IL', 'Clinton County, IL', 'Jersey County, IL', 'Macoupin County, IL', 'Madison County, IL', 'Monroe County, IL', 'St. Clair County, IL', 'Franklin County, MO', 'Jefferson County, MO', 'Lincoln County, MO', 'St. Charles County, MO', 'St. Louis County, MO', 'Warren County, MO', 'St. Louis, MO']"
"Salem, OR","['Marion County, OR', 'Polk County, OR']"
"Salinas, CA","['Monterey County, CA']"
"Salisbury, MD-DE","['Sussex County, DE', 'Somerset County, MD', 'Wicomico County, MD', 'Worcester County, MD']"
"Salt Lake City, UT","['Salt Lake County, UT', 'Tooele County, UT']"
"San Angelo, TX","['Irion County, TX', 'Sterling County, TX', 'Tom Green County, TX']"
"San Antonio-New Braunfels, TX","['Atascosa County, TX', 'Bandera County, TX', 'Bexar County, TX', 'Comal County, TX', 'Guadalupe County, TX', 'Kendall County, TX', 'Medina County, TX', 'Wilson County, TX']"
"San Diego-Chula Vista-Carlsbad, CA","['San Diego County, CA']"
"San Francisco-Oakland-Berkeley, CA","['Alameda County, CA', 'Contra Costa County, CA', 'Marin County, CA', 'San Francisco County, CA', 'San Mateo County, CA']"
"San Jose-Sunnyvale-Santa Clara, CA","['San Benito County, CA', 'Santa Clara County, CA']"
"San Luis Obispo-Paso Robles, CA","['San Luis Obispo County, CA']"
"Santa Cruz-Watsonville, CA","['Santa Cruz County, CA']"
"Santa Fe, NM","['Santa Fe County, NM']"
"Santa Maria-Santa Barbara, CA","['Santa Barbara County, CA']"
"Santa Rosa-Petaluma, CA","['Sonoma County, CA']"
"Savannah, GA","['Bryan County, GA', 'Chatham County, GA', 'Effingham County, GA']"
"Scranton--Wilkes-Barre, PA","['Lackawanna County, PA', 'Luzerne County, PA', 'Wyoming County, PA']"
"Seattle-Tacoma-Bellevue, WA","['King County, WA', 'Pierce County, WA', 'Snohomish County, WA']"
"Sebastian-Vero Beach, FL","['Indian River County, FL']"
"Sebring-Avon Park, FL","['Highlands County, FL']"
"Sheboygan, WI","['Sheboygan County, WI']"
"Sherman-Denison, TX","['Grayson County, TX']"
"Shreveport-Bossier City, LA","['Bossier County, LA', 'Caddo County, LA', 'De Soto County, LA']"
"Sierra Vista-Douglas, AZ","['Cochise County, AZ']"
"Sioux City, IA-NE-SD","['Woodbury County, IA', 'Dakota County, NE', 'Dixon County, NE', 'Union County, SD']"
"Sioux Falls, SD","['Lincoln County, SD', 'McCook County, SD', 'Minnehaha County, SD', 'Turner County, SD']"
"South Bend-Mishawaka, IN-MI","['St. Joseph County, IN', 'Cass County, MI']"
"Spartanburg, SC","['Spartanburg County, SC']"
"Spokane-Spokane Valley, WA","['Spokane County, WA', 'Stevens County, WA']"
"Springfield, IL","['Menard County, IL', 'Sangamon County, IL']"
"Springfield, MA","['Franklin County, MA', 'Hampden County, MA', 'Hampshire County, MA']"
"Springfield, MO","['Christian County, MO', 'Dallas County, MO', 'Greene County, MO', 'Polk County, MO', 'Webster County, MO']"
"Springfield, OH","['Clark County, OH']"
"State College, PA","['Centre County, PA']"
"Staunton, VA","['Augusta County, VA', 'Staunton, VA', 'Waynesboro, VA']"
"Stockton, CA","['San Joaquin County, CA']"
"Sumter, SC","['Clarendon County, SC', 'Sumter County, SC']"
"Syracuse, NY","['Madison County, NY', 'Onondaga County, NY', 'Oswego County, NY']"
"Tallahassee, FL","['Gadsden County, FL', 'Jefferson County, FL', 'Leon County, FL', 'Wakulla County, FL']"
"Tampa-St. Petersburg-Clearwater, FL","['Hernando County, FL', 'Hillsborough County, FL', 'Pasco County, FL', 'Pinellas County, FL']"
"Terre Haute, IN","['Clay County, IN', 'Parke County, IN', 'Sullivan County, IN', 'Vermillion County, IN', 'Vigo County, IN']"
"Texarkana, TX-AR","['Little River County, AR', 'Miller County, AR', 'Bowie County, TX']"
"The Villages, FL","['Sumter County, FL']"
"Toledo, OH","['Fulton County, OH', 'Lucas County, OH', 'Ottawa County, OH', 'Wood County, OH']"
"Topeka, KS","['Jackson County, KS', 'Jefferson County, KS', 'Osage County, KS', 'Shawnee County, KS', 'Wabaunsee County, KS']"
"Trenton-Princeton, NJ","['Mercer County, NJ']"
"Tucson, AZ","['Pima County, AZ']"
"Tulsa, OK","['Creek County, OK', 'Okmulgee County, OK', 'Osage County, OK', 'Pawnee County, OK', 'Rogers County, OK', 'Tulsa County, OK', 'Wagoner County, OK']"
"Tuscaloosa, AL","['Greene County, AL', 'Hale County, AL', 'Pickens County, AL', 'Tuscaloosa County, AL']"
"Twin Falls, ID","['Jerome County, ID', 'Twin Falls County, ID']"
"Tyler, TX","['Smith County, TX']"
"Urban Honolulu, HI","['Honolulu County, HI']"
"Utica-Rome, NY","['Herkimer County, NY', 'Oneida County, NY']"
"Valdosta, GA","['Brooks County, GA', 'Echols County, GA', 'Lanier County, GA', 'Lowndes County, GA']"
"Vallejo, CA","['Solano County, CA']"
"Victoria, TX","['Goliad County, TX', 'Victoria County, TX']"
"Vineland-Bridgeton, NJ","['Cumberland County, NJ']"
"Virginia Beach-Norfolk-Newport News, VA-NC","['Camden County, NC', 'Currituck County, NC', 'Gates County, NC', 'Gloucester County, VA', 'Isle of Wight County, VA', 'Mathews County, VA', 'Chesapeake, VA', 'Hampton, VA', 'Newport News, VA', 'Norfolk, VA', 'Portsmouth, VA', 'Suffolk, VA', 'Virginia Beach, VA', 'James City County, VA', 'Williamsburg,, VA', 'Southampton County, VA', 'Franklin, VA', 'York County, VA', 'Poquoson, VA']"
"Visalia, CA","['Tulare County, CA']"
"Waco, TX","['Falls County, TX', 'McLennan County, TX']"
"Walla Walla, WA","['Walla Walla County, WA']"
"Warner Robins, GA","['Houston County, GA', 'Peach County, GA']"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","['District of Columbia County, DC', 'Calvert County, MD', 'Charles County, MD', 'Frederick County, MD', 'Montgomery County, MD', ""Prince George's County, MD"", 'Arlington County, VA', 'Clarke County, VA', 'Culpeper County, VA', 'Fauquier County, VA', 'Loudoun County, VA', 'Madison County, VA', 'Rappahannock County, VA', 'Stafford County, VA', 'Warren County, VA', 'Alexandria, VA', 'Fairfax County, VA', 'Fairfax, VA', 'Falls Church, VA', 'Prince William County, VA', 'Manassas, VA', 'Manassas Park, VA', 'Spotsylvania County, VA', 'Fredericksburg, VA', 'Jefferson County, WV']"
"Waterloo-Cedar Falls, IA","['Black Hawk County, IA', 'Bremer County, IA', 'Grundy County, IA']"
"Watertown-Fort Drum, NY","['Jefferson County, NY']"
"Wausau-Weston, WI","['Lincoln County, WI', 'Marathon County, WI']"
"Weirton-Steubenville, WV-OH","['Jefferson County, OH', 'Brooke County, WV', 'Hancock County, WV']"
"Wenatchee, WA","['Chelan County, WA', 'Douglas County, WA']"
"Wheeling, WV-OH","['Belmont County, OH', 'Marshall County, WV', 'Ohio County, WV']"
"Wichita, KS","['Butler County, KS', 'Harvey County, KS', 'Sedgwick County, KS', 'Sumner County, KS']"
"Wichita Falls, TX","['Archer County, TX', 'Clay County, TX', 'Wichita County, TX']"
"Williamsport, PA","['Lycoming County, PA']"
"Wilmington, NC","['New Hanover County, NC', 'Pender County, NC']"
"Winchester, VA-WV","['Frederick County, VA', 'Winchester, VA', 'Hampshire County, WV']"
"Winston-Salem, NC","['Davidson County, NC', 'Davie County, NC', 'Forsyth County, NC', 'Stokes County, NC', 'Yadkin County, NC']"
"Worcester, MA-CT","['Windham County, CT', 'Worcester County, MA']"
"Yakima, WA","['Yakima County, WA']"
"York-Hanover, PA","['York County, PA']"
"Youngstown-Warren-Boardman, OH-PA","['Mahoning County, OH', 'Trumbull County, OH', 'Mercer County, PA']"
"Yuba City, CA","['Sutter County, CA', 'Yuba County, CA']"
"Yuma, AZ","['Yuma County, AZ']"
