msa osm,msa (old),auto_commuters,annual_excess_fuel_consumed_commuters,ahd,tti
"Durham-Chapel Hill, NC","Durham, NC",207,4044,11604,1.15
"Eau Claire, WI","Eau, Claire",59,468,1314,1.05
"El Centro, CA","El, Centro-Calexico",63,837,1740,1.13
"El Paso, TX","El, Paso",419,9022,21018,1.16
"Elizabethtown-Fort Knox, KY","Elizabethtown-Radcliff, KY",43,550,1284,1.08
"Elkhart-Goshen, IN","Elkhart, IN-MI",83,1009,2019,1.06
"Elmira, NY","Elmira, NY",37,362,835,1.04
"Erie, PA","Erie, PA",109,1838,3969,1.09
"Eugene-Springfield, OR","Eugene, OR",113,3153,6126,1.17
"Evansville, IN-KY","Evansville, IN-KY",127,1770,3959,1.09
"Fargo, ND-MN","Fargo, ND-MN",105,1215,2510,1.15
"Farmington, NM","Farmington, NM",30,463,926,1.07
"Fayetteville, NC","Fayetteville, NC",180,2606,6527,1.09
"Fayetteville-Springdale-Rogers, AR","Fayetteville-Springdale-Rogers, AR-MO",176,4503,10188,1.14
"Flagstaff, AZ","Flagstaff, AZ",42,753,1449,1.08
"Flint, MI","Flint, MI",197,2307,5616,1.05
"Florence, SC","Florence, SC",51,1262,2716,1.1
"Florence-Muscle Shoals, AL","Florence, AL",44,995,2152,1.11
"Fond du Lac, WI","Fond, du",31,306,671,1.04
"Fort Collins, CO","Fort, Collins",158,2389,5871,1.1
"Fort Smith, AR-OK","Fort, Smith",69,1344,3061,1.07
"Fort Wayne, IN","Fort, Wayne",178,2690,5806,1.08
"Fresno, CA","Fresno, CA",341,7432,17638,1.15
"Gadsden, AL","Gadsden, AL",35,855,1864,1.1
"Gainesville, FL","Gainesville, FL",107,2623,5523,1.17
"Gainesville, GA","Gainesville, GA",79,1416,3267,1.08
"Glens Falls, NY","Glens, Falls",36,686,1643,1.05
"Goldsboro, NC","Goldsboro, NC",34,489,1156,1.07
"Grand Forks, ND-MN","Grand, Forks",37,835,1765,1.05
"Grand Junction, CO","Grand, Junction",74,595,1491,1.06
"Grand Rapids-Kentwood, MI","Grand, Rapids",333,6868,15976,1.13
"Great Falls, MT","Great, Falls",36,440,957,1.1
"Greeley, CO","Greeley, CO",74,1057,2660,1.14
"Green Bay, WI","Green, Bay",118,1490,3380,1.05
"Greensboro-High Point, NC","Greensboro, NC",167,2899,7385,1.12
"Greenville, NC","Greenville, NC",69,1760,3827,1.15
"Greenville-Anderson, SC","Greenville, SC",234,5479,11862,1.13
"Gulfport-Biloxi, MS","Gulfport, MS",124,2012,4720,1.07
"Hagerstown-Martinsburg, MD-WV","Hagerstown, MD-WV-PA",108,1264,2589,1.04
"Hanford-Corcoran, CA","Hanford, CA",51,307,920,1.08
"Harrisburg-Carlisle, PA","Harrisburg, PA",254,4443,10487,1.1
"Harrisonburg, VA","Harrisonburg, VA",40,718,1623,1.08
"Hartford-East Hartford-Middletown, CT","Hartford, CT",447,10844,26100,1.18
"Hattiesburg, MS","Hattiesburg, MS",46,1034,2364,1.1
"Hickory-Lenoir-Morganton, NC","Hickory, NC",124,1721,4070,1.05
"Hinesville, GA","Hinesville, GA",28,253,616,1.08
"Hot Springs, AR","Hot, Springs",32,523,1297,1.06
"Houston-The Woodlands-Sugar Land, TX","Houston, TX",2408,94299,231617,1.33
"Huntington-Ashland, WV-KY-OH","Huntington, WV-KY-OH",113,1700,4044,1.06
"Huntsville, AL","Huntsville, AL",168,2702,7199,1.11
"Idaho Falls, ID","Idaho, Falls",52,380,878,1.05
"Indianapolis-Carmel-Anderson, IN","Indianapolis, IN",782,19039,40210,1.18
"Iowa City, IA","Iowa, City",65,848,1913,1.07
"Ithaca, NY","Ithaca, NY",30,588,1487,1.17
"Jackson, MI","Jackson, MI",50,613,1451,1.06
"Jackson, MS","Jackson, MS",193,3924,11041,1.13
"Jackson, TN","Jackson, TN",41,921,1703,1.08
