msa,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm
"Bloomington, IN",7717,19047,4.936374239,6274297.861,329.4113436,2.593235713,5666,3223635.125,9956,323.7881805,1.084116346,0.011450382,3.730517989,2.739032646,3033.093306,1558.355426,10.20926877,2068.613534
"Bloomsburg-Berwick, PA",6107,16016,5.245128541,6281489.434,392.2008887,2.732438186,4861,3226310.006,8262,390.4998797,1.081946916,0.007746308,3.774581883,3.00446087,3882.429379,1994.100425,2.202038481,1617.927545
"Boise City, ID",43821,111007,5.066383697,34176719.23,307.8789557,2.631249857,33086,17426396.14,58009,300.4084907,1.127429862,0.007481598,1.431226799,1.08061363,1116.23734,569.159197,73.02067763,30617.78889
"Boston-Cambridge-Newton, MA-NH",166287,415686,4.999621137,70762208.69,170.2299541,2.696398396,132633,38059163.87,224475,169.5474501,1.09393378,0.028399599,15.00022894,11.96440711,6383.236998,3433.197853,271.7819726,11085.6308
"Boulder, CO",14392,36240,5.036131184,6702837.937,184.9568967,2.743468594,11311,3553050.399,19740,179.9924214,1.119517055,0.013069909,7.501685798,5.895745418,3493.787115,1851.99192,18.20133491,1918.502106
"Bowling Green, KY",11171,27250,4.878703787,11050134.45,405.5095211,2.543729299,8105,5722810.555,14160,404.1532878,1.098669496,0.014053672,2.631664371,1.909376039,2603.190862,1348.179808,6.751971606,4244.842208
"Bremerton-Silverdale-Port Orchard, WA",12374,28776,4.651042508,6541792.046,227.335003,2.385485696,7977,3379408.285,14763,228.9106743,1.104954459,0.00921222,8.530875918,5.499498723,4510.038486,2329.829704,3.989498285,1450.495836
"Bridgeport-Stamford-Norwalk, CT",30857,77301,5.010273196,15506861.32,200.6036315,2.634086269,23833,8163304.715,40624,200.9478317,1.091871272,0.022572863,16.55330206,12.7852626,8318.688122,4379.221853,68.32242502,1864.099374
"Brownsville-Harlingen, TX",15184,40115,5.283851423,10338105.76,257.7117227,2.815595364,12290,5519015.506,21369,258.2720533,1.068539078,0.004445692,3.92006042,3.172915079,2668.993625,1424.846829,10.41596345,3873.409686
"Brunswick, GA",11009,27385,4.975020438,9346181.532,341.2883525,2.605141248,8082,4869108.121,14310,340.259128,1.092856361,0.011530398,2.648827695,1.944574933,2248.744163,1171.534966,2.377118693,4156.178229
"Buffalo-Cheektowaga, NY",30091,81425,5.411917185,20889065.32,256.543633,2.87195507,25522,11079167.47,43224,256.3198102,1.057046345,0.013834907,4.927418712,4.179242311,3420.596568,1814.220103,45.0384901,6106.848587
"Burlington, NC",8557,21105,4.932803553,5343392.992,253.1813784,2.556854038,6132,2745265.954,10901,251.8361576,1.058958573,0.007247042,7.610602515,5.453805612,4752.41792,2441.641694,3.369490148,1124.352505
"Burlington-South Burlington, VT",10854,26095,4.80836558,9185818.647,352.0145103,2.480375898,7690,4727688.385,13448,351.5532707,1.088853476,0.024390244,2.788371538,1.975546077,2359.818985,1214.533972,8.325908386,3892.594603
"California-Lexington Park, MD",8149,17889,4.390477359,4592195.503,256.7049865,2.288378942,4935,2365902.454,9325,253.7160809,1.082983037,0.006756032,4.118711144,2.494274082,2321.012001,1195.787066,1.988754501,1978.531564
"Canton-Massillon, OH",19333,52480,5.429059122,12510681.19,238.3895044,2.80060001,15322,6435014.273,26977,238.5370602,1.050764593,0.004077548,7.627583905,6.04509598,4935.92668,2538.851254,7.337700607,2534.616497
"Cape Coral-Fort Myers, FL",43551,110468,5.073040803,19121296.6,173.0935348,2.856214553,36063,10604652.34,62302,170.2136743,1.082065206,0.023177426,13.87776455,11.49167236,6093.10583,3379.230516,48.06235504,3138.185538
"Cape Girardeau, MO-IL",8862,21982,4.960956895,9437404.864,429.3242136,2.561611374,6369,4811705.715,11299,425.8523511,1.093434879,0.006106735,2.344863759,1.68522199,2497.114493,1273.16569,1.151353718,3779.324051
"Carbondale-Marion, IL",15822,39644,5.011250158,11298887.85,285.0087744,2.573821262,11281,5814306.295,20298,286.4472507,1.079882993,0.013351069,4.371623588,3.116943856,3121.886276,1606.494662,4.213465855,3619.250304
"Carson City, NV",2699,7017,5.199703594,1100686.817,156.8600281,2.77510189,2137,597034.722,3747,159.3367286,1.072419521,0.002668802,6.614549056,5.237232802,2697.497942,1463.177272,5.665095042,408.0399098
"Casper, WY",5774,15528,5.378593696,8166183.904,525.9005605,2.772081746,4557,4216255.107,7972,528.8829788,1.107974499,0.002257903,0.414934085,0.327477421,586.8424055,302.9906402,1.39666455,13915.46321
"Cedar Rapids, IA",14163,38954,5.500811975,15512251.31,398.2197287,2.883005013,11677,8088962.18,20346,397.5701455,1.041429943,0.00673351,2.710385107,2.234637216,2968.592454,1547.99143,14.45945953,5225.456694
"Chambersburg-Waynesboro, PA",7228,18575,5.139734366,6737179.098,362.7014319,2.641117875,5526,3456835.8,9498,363.9540745,1.079661928,0.009791535,3.607829782,2.758282702,3362.838322,1725.466955,4.745853125,2003.42046
