Geographic Area Name,Geography,Estimate!!Total,"Estimate!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-or-more-person carpool",Estimate!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus,Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico),Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated,Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad,Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat,Estimate!!Total!!Bicycle,Estimate!!Total!!Walked,"Estimate!!Total!!Taxicab, motorcycle, or other means",Estimate!!Total!!Worked at home
"Topeka, KS",310M200US45820,109391,101927,90102,11825,9680,1363,782,639,636,0,0,3,0,270,2094,924,3537
"Trenton, NJ",310M200US45940,172853,140373,122585,17788,12841,2220,2727,13526,5620,64,523,7259,60,1223,6261,2498,8972
"Tucson, AZ",310M200US46060,414921,358625,317582,41043,31415,5754,3874,10943,10719,138,30,2,54,7432,9872,8351,19698
"Tulsa, OK",310M200US46140,435112,405280,361359,43921,35386,5275,3260,2492,2445,0,9,19,19,911,5714,4769,15946
"Tuscaloosa, AL",310M200US46220,97118,91993,83044,8949,6819,1447,683,568,558,0,10,0,0,373,1407,524,2253
"Tyler, TX",310M200US46340,93342,86513,76985,9528,7042,1434,1052,298,298,0,0,0,0,89,1273,2229,2940
"Urban Honolulu, HI",310M200US46520,480392,378792,308370,70422,52174,11290,6958,40426,40196,72,110,5,43,5628,25162,13749,16635
"Utica-Rome, NY",310M200US46540,130043,117587,106625,10962,8941,1387,634,1321,1267,0,43,2,9,246,5281,1022,4586
"Valdosta, GA",310M200US46660,57915,53373,48053,5320,4027,686,607,196,168,0,28,0,0,333,882,1297,1834
"Vallejo-Fairfield, CA",310M200US46700,183003,164613,139366,25247,16238,5334,3675,4783,2558,28,941,393,863,868,4011,1650,7078
"Victoria, TX",310M200US47020,43067,40482,34932,5550,4126,844,580,332,332,0,0,0,0,53,542,219,1439
"Vineland-Bridgeton, NJ",310M200US47220,60464,55838,49294,6544,4459,1191,894,1131,1096,19,8,8,0,173,1209,1273,840
"Virginia Beach-Norfolk-Newport News, VA-NC",310M200US47260,827474,741300,671509,69791,55369,8820,5602,14834,14000,123,376,180,155,3433,25040,9244,33623
"Visalia-Porterville, CA",310M200US47300,165479,151779,124744,27035,17173,4427,5435,1176,1171,5,0,0,0,868,3324,2897,5435
"Waco, TX",310M200US47380,110997,103791,90407,13384,10381,1925,1078,652,616,12,24,0,0,273,2335,720,3226
"Walla Walla, WA",310M200US47460,27139,22546,19222,3324,2623,311,390,255,255,0,0,0,0,583,2133,296,1326
"Warner Robins, GA",310M200US47580,78736,75213,66861,8352,6556,932,864,100,75,0,0,0,25,75,925,992,1431
"Washington-Arlington-Alexandria, DC-VA-MD-WV",310M200US47900,3071308,2335390,2026519,308871,222087,53836,32948,435136,168388,2019,242132,22482,115,22712,98689,28322,151059
"Waterloo-Cedar Falls, IA",310M200US47940,83462,75269,68921,6348,4993,851,504,283,283,0,0,0,0,439,4254,722,2495
"Watertown-Fort Drum, NY",310M200US48060,53347,46853,40706,6147,5056,678,413,227,209,0,12,0,6,125,3037,704,2401
