Geographic Area Name,Geography,Estimate!!Total,"Estimate!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-or-more-person carpool",Estimate!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus,Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico),Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated,Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad,Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat,Estimate!!Total!!Bicycle,Estimate!!Total!!Walked,"Estimate!!Total!!Taxicab, motorcycle, or other means",Estimate!!Total!!Worked at home
"Detroit-Warren-Dearborn, MI",310M200US19820,1822604,1691157,1533478,157679,125164,19448,13067,29442,28649,149,473,57,114,4278,23729,14916,59082
"Dothan, AL",310M200US20020,61033,58223,53323,4900,3494,683,723,203,203,0,0,0,0,23,465,814,1305
"Dover, DE",310M200US20100,74485,68697,61707,6990,5444,869,677,894,827,0,60,7,0,156,1418,709,2611
"Dubuque, IA",310M200US20220,49384,44346,40440,3906,3026,435,445,472,464,0,0,8,0,142,2027,316,2081
"Duluth, MN-WI",310M200US20260,129746,115146,102675,12471,10101,1658,712,2450,2435,0,15,0,0,532,5284,1424,4910
"Durham-Chapel Hill, NC",310M200US20500,247205,209405,183305,26100,19484,3575,3041,10385,10307,0,57,21,0,2416,7999,3769,13231
"East Stroudsburg, PA",310M200US20700,73083,64438,57166,7272,6182,721,369,3348,3033,71,105,139,0,38,1598,477,3184
"Eau Claire, WI",310M200US20740,83492,73719,67140,6579,5042,897,640,591,589,0,0,0,2,506,3083,918,4675
"El Centro, CA",310M200US20940,56288,50972,44835,6137,3928,1009,1200,630,630,0,0,0,0,293,1096,1039,2258
"Elizabethtown-Fort Knox, KY",310M200US21060,66811,62172,54843,7329,5226,1170,933,235,226,9,0,0,0,7,1167,759,2471
"Elkhart-Goshen, IN",310M200US21140,88938,82141,70063,12078,9576,1219,1283,442,400,34,0,8,0,1487,1614,1235,2019
"Elmira, NY",310M200US21300,38069,34799,32036,2763,2141,373,249,653,626,0,26,1,0,124,1260,274,959
"El Paso, TX",310M200US21340,331923,300507,263074,37433,28698,5070,3665,5556,5494,0,45,17,0,434,7147,8360,9919
"Erie, PA",310M200US21500,125712,112846,100471,12375,9989,1636,750,2100,2100,0,0,0,0,319,5165,1007,4275
"Eugene, OR",310M200US21660,152607,122935,107698,15237,12647,1738,852,4768,4729,0,0,23,16,6663,7649,1305,9287
"Evansville, IN-KY",310M200US21780,146186,136589,125178,11411,9323,1398,690,1468,1454,11,0,3,0,499,2304,1344,3982
"Fairbanks, AK",310M200US21820,50498,44418,37131,7287,5848,937,502,688,688,0,0,0,0,556,1682,1073,2081
"Fargo, ND-MN",310M200US22020,123238,110776,101106,9670,7302,1281,1087,1399,1343,2,35,0,19,783,4596,1204,4480
"Farmington, NM",310M200US22140,51153,47810,42897,4913,3634,646,633,129,121,8,0,0,0,192,870,524,1628
"Fayetteville, NC",310M200US22180,161191,148517,134256,14261,11016,1974,1271,1193,1156,0,37,0,0,332,4876,1813,4460
"Fayetteville-Springdale-Rogers, AR-MO",310M200US22220,220703,202143,177060,25083,18689,4167,2227,1164,1127,0,21,0,16,612,4807,2239,9738
"Flagstaff, AZ",310M200US22380,63035,50606,43079,7527,5550,962,1015,1222,1185,25,0,12,0,1852,5195,793,3367
"Flint, MI",310M200US22420,154516,145269,131482,13787,10492,1967,1328,1796,1780,9,7,0,0,201,1850,938,4462
"Florence, SC",310M200US22500,81920,76902,69281,7621,5789,841,991,218,212,0,6,0,0,163,1085,776,2776
"Florence-Muscle Shoals, AL",310M200US22520,60270,57855,53059,4796,3693,599,504,145,133,0,1,0,11,83,781,419,987
"Fond du Lac, WI",310M200US22540,51770,47072,42175,4897,4019,473,405,166,158,0,3,3,2,360,1723,534,1915
"Fort Collins, CO",310M200US22660,156205,131797,118549,13248,10329,1987,932,1513,1504,0,0,9,0,6007,4051,1881,10956
"Fort Smith, AR-OK",310M200US22900,113191,107227,95072,12155,9046,1604,1505,309,266,0,30,13,0,121,1722,1142,2670
"Fort Wayne, IN",310M200US23060,193588,179957,164826,15131,11775,1428,1928,1259,1174,57,0,8,20,606,2396,1610,7760
"Fresno, CA",310M200US23420,352667,315626,271552,44074,29164,6320,8590,4458,4307,55,50,32,14,2903,7249,8340,14091
"Gadsden, AL",310M200US23460,39201,37393,33924,3469,2994,269,206,124,115,0,0,0,9,6,141,146,1391
"Gainesville, FL",310M200US23540,118512,99130,87500,11630,9387,1447,796,5064,5037,0,27,0,0,3628,3645,1944,5101
"Gainesville, GA",310M200US23580,80594,74517,63643,10874,7180,2224,1470,223,209,0,0,0,14,45,837,1770,3202
"Gettysburg, PA",310M200US23900,49589,45021,40903,4118,3249,567,302,237,179,0,22,36,0,114,1954,447,1816
"Glens Falls, NY",310M200US24020,58721,52869,47077,5792,4854,660,278,323,246,0,58,19,0,185,1978,550,2816
"Goldsboro, NC",310M200US24140,52570,50060,42870,7190,5141,904,1145,251,242,0,9,0,0,103,648,359,1149
"Grand Forks, ND-MN",310M200US24220,53151,47175,42846,4329,3473,565,291,537,478,39,0,0,20,376,2204,540,2319
"Grand Island, NE",310M200US24260,42252,38703,34052,4651,3392,564,695,368,350,0,18,0,0,201,853,280,1847
"Grand Junction, CO",310M200US24300,66035,58566,51937,6629,5046,852,731,256,256,0,0,0,0,972,1866,1036,3339
"Grand Rapids-Wyoming, MI",310M200US24340,467882,427591,386310,41281,31851,5801,3629,6605,6561,0,14,12,18,2191,9451,3661,18383
"Grants Pass, OR",310M200US24420,27682,24716,22594,2122,1741,250,131,100,79,0,0,11,10,203,580,342,1741
"Great Falls, MT",310M200US24500,38993,35407,31023,4384,3615,517,252,355,355,0,0,0,0,201,1492,277,1261
"Greeley, CO",310M200US24540,123784,111725,97731,13994,10132,1799,2063,765,744,3,5,0,13,740,2766,1533,6255
"Green Bay, WI",310M200US24580,154776,141006,128500,12506,9863,1722,921,1076,1045,2,20,0,9,573,3922,1894,6305
"Greensboro-High Point, NC",310M200US24660,325271,301637,270218,31419,23247,4993,3179,3246,3067,83,40,36,20,473,4775,2586,12554
"Greenville, NC",310M200US24780,79120,73416,65630,7786,5745,1040,1001,826,826,0,0,0,0,294,1866,577,2141
"Greenville-Anderson-Mauldin, SC",310M200US24860,365354,340995,310220,30775,23826,4157,2792,1651,1438,0,59,64,90,510,6798,3698,11702
"Guayama, PR",310M200US25020,18217,16988,14958,2030,1643,267,120,266,103,163,0,0,0,40,517,211,195
"Gulfport-Biloxi-Pascagoula, MS",310M200US25060,163206,152087,134284,17803,13339,2284,2180,1110,1081,0,16,0,13,310,4615,1885,3199
"Hagerstown-Martinsburg, MD-WV",310M200US25180,114184,105586,93956,11630,9267,1331,1032,1332,692,0,114,511,15,126,2004,930,4206
"Hammond, LA",310M200US25220,51298,47143,40634,6509,4778,893,838,268,268,0,0,0,0,162,686,1460,1579
"Hanford-Corcoran, CA",310M200US25260,53699,48931,40884,8047,4691,1278,2078,772,707,15,0,31,19,184,1451,704,1657
"Harrisburg-Carlisle, PA",310M200US25420,270172,244634,219925,24709,19890,3022,1797,4104,3859,5,157,73,10,720,9342,1959,9413
"Harrisonburg, VA",310M200US25500,59638,52214,47109,5105,3969,561,575,822,811,0,0,11,0,437,3012,494,2659
"Hartford-West Hartford-East Hartford, CT",310M200US25540,590061,526519,480105,46414,37441,4972,4001,18479,17588,41,287,529,34,1397,16067,5859,21740
"Hattiesburg, MS",310M200US25620,62608,57257,51456,5801,4280,916,605,243,223,0,9,0,11,412,1273,2260,1163
"Hickory-Lenoir-Morganton, NC",310M200US25860,153169,144905,131231,13674,10951,1642,1081,209,196,8,5,0,0,168,1560,1382,4945
"Hilton Head Island-Bluffton-Beaufort, SC",310M200US25940,84939,74759,64134,10625,7353,2123,1149,351,273,0,12,23,43,665,2133,1812,5219
"Hinesville, GA",310M200US25980,34314,31397,28381,3016,2566,240,210,104,104,0,0,0,0,103,1063,966,681
"Homosassa Springs, FL",310M200US26140,42893,39213,35530,3683,3255,326,102,69,54,0,0,0,15,174,459,684,2294
"Hot Springs, AR",310M200US26300,38089,35151,29719,5432,4534,603,295,164,164,0,0,0,0,151,524,368,1731
"Houma-Thibodaux, LA",310M200US26380,89608,82398,71952,10446,7566,1620,1260,338,323,0,0,0,15,224,1326,3499,1823
"Houston-The Woodlands-Sugar Land, TX",310M200US26420,2864748,2606339,2289715,316624,235620,46976,34028,68348,66328,651,687,621,61,9064,38625,44124,98248
"Huntington-Ashland, WV-KY-OH",310M200US26580,141117,132790,120696,12094,10055,1301,738,633,576,34,8,15,0,182,3054,1413,3045
"Huntsville, AL",310M200US26620,197012,185944,170893,15051,12286,1625,1140,691,625,0,66,0,0,208,2066,2377,5726
"Idaho Falls, ID",310M200US26820,58050,52412,45249,7163,5044,842,1277,1374,1374,0,0,0,0,378,1115,612,2159
"Indianapolis-Carmel-Anderson, IN",310M200US26900,900687,833210,754540,78670,64143,8564,5963,9531,9140,170,83,104,34,2773,14235,7505,33433
"Iowa City, IA",310M200US26980,85803,66515,58433,8082,6395,993,694,4664,4630,34,0,0,0,1855,7634,1470,3665
"Ithaca, NY",310M200US27060,47977,33935,29787,4148,3717,304,127,3132,3102,0,8,22,0,524,7135,334,2917
"Jackson, MI",310M200US27100,64050,59489,52978,6511,5172,798,541,273,273,0,0,0,0,338,1292,522,2136
"Jackson, MS",310M200US27140,246351,233692,210928,22764,17900,2710,2154,792,778,0,0,0,14,172,2488,2727,6480
"Jackson, TN",310M200US27180,54302,49952,46169,3783,2900,593,290,440,400,0,0,22,18,104,656,832,2318
"Jacksonville, FL",310M200US27260,619957,562685,502618,60067,48241,8069,3757,7353,7230,14,76,7,26,3427,7482,8476,30534
"Jacksonville, NC",310M200US27340,88290,76701,64856,11845,9074,1664,1107,320,317,0,3,0,0,253,4606,1036,5374
"Janesville-Beloit, WI",310M200US27500,73689,67579,60129,7450,6026,919,505,459,389,0,40,30,0,199,1676,634,3142
"Jefferson City, MO",310M200US27620,68637,64301,56008,8293,6456,1090,747,114,114,0,0,0,0,92,1053,823,2254
"Johnson City, TN",310M200US27740,85473,78965,72677,6288,5347,653,288,409,376,0,0,0,33,219,1111,1304,3465
"Johnstown, PA",310M200US27780,57694,52894,47843,5051,3910,646,495,689,683,3,3,0,0,28,1815,851,1417
"Jonesboro, AR",310M200US27860,52890,49421,44540,4881,3646,703,532,104,104,0,0,0,0,39,734,603,1989
"Joplin, MO",310M200US27900,79198,73357,65508,7849,6327,984,538,208,158,37,13,0,0,179,1274,1062,3118
"Kahului-Wailuku-Lahaina, HI",310M200US27980,77090,65007,54331,10676,7652,1612,1412,1897,1796,8,8,10,75,768,2935,1578,4905
"Kalamazoo-Portage, MI",310M200US28020,148946,135328,123432,11896,9563,1373,960,1800,1666,66,40,28,0,624,3953,1512,5729
"Kankakee, IL",310M200US28100,48630,44126,40028,4098,2943,545,610,719,383,0,44,292,0,183,1379,695,1528
"Kansas City, MO-KS",310M200US28140,986147,908667,821263,87404,70632,9779,6993,11517,11207,95,101,38,76,1916,12825,9284,41938
"Kennewick-Richland, WA",310M200US28420,115097,106099,92160,13939,8000,2599,3340,1344,1297,47,0,0,0,331,2305,871,4147
"Killeen-Temple, TX",310M200US28660,182835,167455,146784,20671,16822,2586,1263,435,410,23,0,0,2,330,6623,2649,5343
"Kingsport-Bristol-Bristol, TN-VA",310M200US28700,125326,118853,109032,9821,7832,1090,899,435,435,0,0,0,0,171,1259,1066,3542
"Kingston, NY",310M200US28740,83370,70909,64193,6716,5309,788,619,1946,922,19,461,530,14,390,3679,820,5626
"Knoxville, TN",310M200US28940,367691,344864,313051,31813,24398,4892,2523,2047,1978,7,0,51,11,533,4371,2573,13303
"Kokomo, IN",310M200US29020,34378,32197,29290,2907,2286,413,208,138,68,70,0,0,0,144,460,470,969
"La Crosse-Onalaska, WI-MN",310M200US29100,70628,62282,56506,5776,4472,644,660,693,676,17,0,0,0,1204,3118,594,2737
"Lafayette, LA",310M200US29180,214281,200954,176605,24349,17875,3215,3259,1023,1012,0,0,0,11,783,3379,3320,4822
"Lafayette-West Lafayette, IN",310M200US29200,95197,82204,72695,9509,7698,982,829,2548,2494,18,19,17,0,1017,4997,990,3441
"Lake Charles, LA",310M200US29340,85970,81867,73279,8588,6743,1051,794,223,223,0,0,0,0,192,1084,1050,1554
"Lake Havasu City-Kingman, AZ",310M200US29420,66139,60880,51617,9263,7056,1437,770,235,209,0,0,26,0,168,1461,1375,2020
"Lakeland-Winter Haven, FL",310M200US29460,236739,218914,192815,26099,20036,3617,2446,1109,1041,34,0,34,0,644,3116,4041,8915
"Lancaster, PA",310M200US29540,251413,222409,199294,23115,14851,4094,4170,3229,2502,10,61,618,38,1772,8699,3169,12135
"Lansing-East Lansing, MI",310M200US29620,212936,187600,169398,18202,14259,2622,1321,4744,4706,0,13,12,13,2787,8140,1242,8423
"Laredo, TX",310M200US29700,94835,87972,74068,13904,10511,1797,1596,1138,1138,0,0,0,0,29,1490,680,3526
"Las Cruces, NM",310M200US29740,88265,80725,72152,8573,5887,1245,1441,382,364,0,0,18,0,581,2274,597,3706
"Las Vegas-Henderson-Paradise, NV",310M200US29820,893489,796572,701677,94895,76311,12347,6237,35451,35104,47,163,107,30,3837,15478,15148,27003
"Lawrence, KS",310M200US29940,59594,51808,45545,6263,4656,1025,582,1179,1179,0,0,0,0,621,3167,479,2340
"Lawton, OK",310M200US30020,59825,50970,44141,6829,5409,941,479,509,468,10,0,31,0,69,2244,1665,4368
"Lebanon, PA",310M200US30140,63075,57520,51287,6233,4941,679,613,292,264,0,17,1,10,279,2327,430,2227
"Lewiston, ID-WA",310M200US30300,27362,24571,22007,2564,2056,244,264,152,148,4,0,0,0,134,883,387,1235
"Lewiston-Auburn, ME",310M200US30340,50209,45567,38753,6814,5710,610,494,160,145,0,0,15,0,154,1933,711,1684
"Lexington-Fayette, KY",310M200US30460,235172,211911,188142,23769,19729,2653,1387,3019,2984,20,15,0,0,1480,7656,1607,9499
"Lima, OH",310M200US30620,45345,43136,39264,3872,2949,732,191,161,161,0,0,0,0,134,709,316,889
"Lincoln, NE",310M200US30700,163687,147955,132428,15527,11860,2269,1398,1905,1832,21,37,8,7,2410,4348,1139,5930
"Little Rock-North Little Rock-Conway, AR",310M200US30780,330670,311861,279660,32201,24976,4226,2999,1963,1935,10,0,12,6,317,4059,3134,9336
"Logan, UT-ID",310M200US30860,58007,50493,44030,6463,4636,890,937,991,991,0,0,0,0,934,2404,746,2439
"Longview, TX",310M200US30980,91774,86239,77180,9059,6946,1330,783,336,306,0,30,0,0,97,1371,1117,2614
"Longview, WA",310M200US31020,38619,35581,30561,5020,3729,647,644,64,64,0,0,0,0,226,648,624,1476
"Los Angeles-Long Beach-Anaheim, CA",310M200US31080,5883263,4952660,4349521,603139,469032,81192,52915,350435,310555,3011,22214,14073,582,53346,155298,73515,298009
"Louisville/Jefferson County, KY-IN",310M200US31140,579052,534041,482278,51763,40962,6408,4393,10633,10571,21,27,0,14,1397,9209,5502,18270
"Lubbock, TX",310M200US31180,141890,131654,115997,15657,12363,2300,994,1189,1154,4,0,13,18,566,2786,1234,4461
"Lynchburg, VA",310M200US31340,113985,104256,93034,11222,9256,1242,724,1711,1647,0,42,22,0,129,2479,1596,3814
"Macon, GA",310M200US31420,87764,82238,74096,8142,6439,1039,664,631,631,0,0,0,0,101,1365,1491,1938
"Madera, CA",310M200US31460,42533,38026,32282,5744,3566,615,1563,84,84,0,0,0,0,230,1000,865,2328
"Madison, WI",310M200US31540,336571,278056,248854,29202,23142,3966,2094,14234,14163,0,65,2,4,8510,17651,2850,15270
"Manchester-Nashua, NH",310M200US31700,208667,188265,170898,17367,14099,2221,1047,1957,1573,89,65,213,17,247,4190,1540,12468
"Manhattan, KS",310M200US31740,50415,41404,37128,4276,3225,577,474,84,84,0,0,0,0,539,3603,372,4413
"Mankato-North Mankato, MN",310M200US31860,53393,47145,42872,4273,3587,501,185,412,392,0,0,2,18,376,2104,287,3069
"Mansfield, OH",310M200US31900,49219,46012,41876,4136,3556,268,312,355,343,0,0,12,0,93,1018,253,1488
"Mayagüez, PR",310M200US32420,25458,23218,20775,2443,2003,328,112,348,55,293,0,0,0,104,1038,124,626
"McAllen-Edinburg-Mission, TX",310M200US32580,285509,256459,226183,30276,22762,4952,2562,685,594,25,3,57,6,389,3526,12077,12373
"Medford, OR",310M200US32780,84039,71428,64599,6829,5710,518,601,1226,1190,0,21,6,9,1167,3068,1169,5981
"Memphis, TN-MS-AR",310M200US32820,586602,549718,491348,58370,46592,7822,3956,6833,6665,86,0,50,32,848,7316,5987,15900
"Merced, CA",310M200US32900,92426,83236,72054,11182,7851,1784,1547,414,395,10,0,9,0,394,2098,2844,3440
"Miami-Fort Lauderdale-West Palm Beach, FL",310M200US33100,2591760,2274906,2028018,246888,186506,35842,24540,98819,87585,532,6237,4364,101,15326,46561,34580,121568
"Michigan City-La Porte, IN",310M200US33140,45875,43074,39578,3496,3086,272,138,451,260,0,13,178,0,109,631,350,1260
"Midland, MI",310M200US33220,36365,33913,31266,2647,2225,268,154,240,240,0,0,0,0,209,518,289,1196
"Midland, TX",310M200US33260,74969,70599,63096,7503,5059,1205,1239,183,135,0,0,0,48,81,636,1303,2167
"Milwaukee-Waukesha-West Allis, WI",310M200US33340,748596,664778,600528,64250,51870,7519,4861,27427,26916,86,92,300,33,3899,20952,5541,25999
"Minneapolis-St. Paul-Bloomington, MN-WI",310M200US33460,1777066,1537344,1388893,148451,118777,17063,12611,81800,76543,680,2006,2458,113,15579,40849,14666,86828
"Missoula, MT",310M200US33540,56422,46426,40589,5837,4781,626,430,1055,1025,0,30,0,0,2243,3013,503,3182
"Mobile, AL",310M200US33660,167645,158265,142845,15420,10969,2542,1909,980,932,0,0,0,48,86,1558,1209,5547
"Modesto, CA",310M200US33700,199368,182477,159494,22983,16805,3569,2609,1882,1508,0,52,299,23,1185,3599,1940,8285
"Monroe, LA",310M200US33740,72084,68460,62665,5795,4481,858,456,808,780,0,28,0,0,91,610,787,1328
"Monroe, MI",310M200US33780,65710,61741,57071,4670,3490,825,355,782,770,0,9,3,0,148,699,469,1871
"Montgomery, AL",310M200US33860,159399,151616,136600,15016,12239,1931,846,923,885,4,34,0,0,134,1611,1245,3870
"Morgantown, WV",310M200US34060,61335,54075,47684,6391,5339,638,414,775,640,6,124,5,0,180,3374,392,2539
"Morristown, TN",310M200US34100,46415,43979,38545,5434,4436,607,391,74,74,0,0,0,0,16,444,860,1042
"Mount Vernon-Anacortes, WA",310M200US34580,50058,44673,39685,4988,3805,638,545,538,466,0,0,10,62,348,1291,651,2557
"Muncie, IN",310M200US34620,49767,44310,40080,4230,3427,532,271,804,804,0,0,0,0,467,2396,281,1509
"Muskegon, MI",310M200US34740,66943,62772,56438,6334,5208,629,497,249,225,0,19,0,5,263,793,482,2384
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",310M200US34820,166047,153872,136492,17380,14172,1689,1519,469,327,0,0,0,142,921,2416,2565,5804
"Napa, CA",310M200US34900,65991,58010,50336,7674,5621,1082,971,657,495,0,29,0,133,478,2742,411,3693
"Naples-Immokalee-Marco Island, FL",310M200US34940,133282,113448,98509,14939,10458,2639,1842,3657,3557,0,53,47,0,1463,2309,3020,9385
"Nashville-Davidson--Murfreesboro--Franklin, TN",310M200US34980,821559,754577,674334,80243,62664,10965,6614,9431,8600,90,130,564,47,1595,10927,7346,37683
"New Bern, NC",310M200US35100,54354,49590,42428,7162,5168,1176,818,156,130,10,16,0,0,121,1473,1150,1864
"New Haven-Milford, CT",310M200US35300,408870,357361,324161,33200,26152,4304,2744,16927,12221,98,342,4216,50,2170,14729,3100,14583
"New Orleans-Metairie, LA",310M200US35380,552301,493909,435785,58124,44511,7784,5829,15590,14283,960,86,36,225,5858,13763,9289,13892
"New York-Newark-Jersey City, NY-NJ-PA",310M200US35620,9167779,5261079,4640137,620942,459221,85971,75750,2788081,730527,15015,1691850,331819,18870,51832,552114,140906,373767
"Niles-Benton Harbor, MI",310M200US35660,66615,60791,54958,5833,4888,469,476,328,198,13,30,72,15,262,1745,555,2934
"North Port-Sarasota-Bradenton, FL",310M200US35840,284284,255741,231164,24577,18543,3188,2846,2117,2066,0,19,5,27,2484,3986,3685,16271
"Norwich-New London, CT",310M200US35980,137534,121559,108930,12629,10051,1328,1250,2773,2099,12,89,370,203,323,5587,1346,5946
"Ocala, FL",310M200US36100,113803,103270,91118,12152,10125,1189,838,328,245,0,9,16,58,380,1645,1953,6227
"Ocean City, NJ",310M200US36140,42553,36198,32960,3238,2766,233,239,681,556,13,40,72,0,1139,2305,500,1730
"Odessa, TX",310M200US36220,66280,63218,53408,9810,6954,1179,1677,408,325,17,28,38,0,183,668,310,1493
"Ogden-Clearfield, UT",310M200US36260,276175,250191,219333,30858,22806,4126,3926,5948,4165,48,266,1449,20,1021,4000,3136,11879
"Oklahoma City, OK",310M200US36420,607211,566415,504117,62298,48341,8282,5675,2762,2659,36,24,30,13,2030,9630,6101,20273
"Olympia-Tumwater, WA",310M200US36500,118691,105478,92637,12841,9653,1642,1546,2207,2073,0,10,111,13,1432,2899,1397,5278
"Omaha-Council Bluffs, NE-IA",310M200US36540,451681,419480,377820,41660,33079,5171,3410,4092,4042,9,18,5,18,860,8205,3517,15527
"Orlando-Kissimmee-Sanford, FL",310M200US36740,1016849,918848,822237,96611,77451,11344,7816,19285,18922,43,143,157,20,4977,11043,14496,48200
"Oshkosh-Neenah, WI",310M200US36780,84095,77471,71278,6193,4776,887,530,816,802,0,14,0,0,776,1912,553,2567
"Owensboro, KY",310M200US36980,49906,47121,43174,3947,2911,619,417,191,169,20,0,0,2,81,1115,305,1093
"Oxnard-Thousand Oaks-Ventura, CA",310M200US37100,386259,345040,295630,49410,35218,7786,6406,5521,3979,45,143,1242,112,2593,7555,3793,21757
"Palm Bay-Melbourne-Titusville, FL",310M200US37340,223352,203251,183621,19630,16122,2247,1261,1310,1233,30,36,11,0,1597,2547,3975,10672
"Panama City, FL",310M200US37460,82726,77096,68376,8720,7083,1161,476,499,499,0,0,0,0,529,1454,965,2183
"Parkersburg-Vienna, WV",310M200US37620,38484,36371,32223,4148,3591,355,202,211,207,0,0,4,0,90,688,278,846
"Pensacola-Ferry Pass-Brent, FL",310M200US37860,202198,179286,158888,20398,15939,3381,1078,923,897,0,26,0,0,672,3252,2495,15570
"Peoria, IL",310M200US37900,173232,161190,146496,14694,11579,1940,1175,2096,2072,0,18,6,0,487,3447,1257,4755
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",310M200US37980,2772900,2252955,2035504,217451,172738,25995,18718,265732,153154,3770,45670,62968,170,16950,103300,21999,111964
"Phoenix-Mesa-Scottsdale, AZ",310M200US38060,1870183,1644583,1432783,211800,165935,27091,18774,40671,37698,1338,759,831,45,15312,27724,32258,109635
"Pine Bluff, AR",310M200US38220,35142,32992,29506,3486,2470,688,328,150,128,22,0,0,0,0,477,753,770
"Pittsburgh, PA",310M200US38300,1108443,955701,858538,97163,80477,10217,6469,59538,53718,3614,2016,97,93,3495,37914,9909,41886
"Pittsfield, MA",310M200US38340,60737,53134,48171,4963,3993,513,457,772,608,43,64,57,0,325,3273,444,2789
"Pocatello, ID",310M200US38540,36629,32266,28399,3867,2827,557,483,891,891,0,0,0,0,320,1444,422,1286
"Ponce, PR",310M200US38660,85469,78564,71476,7088,5395,834,859,743,160,562,21,0,0,360,2852,905,2045
"Portland-South Portland, ME",310M200US38860,265829,232750,207436,25314,21149,2287,1878,2742,2191,18,61,119,353,1914,10304,2753,15366
"Portland-Vancouver-Hillsboro, OR-WA",310M200US38900,1074181,865024,760220,104804,85740,12430,6634,67006,50620,7761,6046,2574,5,24954,37088,10798,69311
"Port St. Lucie, FL",310M200US38940,166381,149621,130663,18958,13919,2817,2222,793,514,82,41,156,0,868,1912,2864,10323
"Prescott, AZ",310M200US39140,79267,69119,58869,10250,8170,1391,689,150,104,0,46,0,0,770,2393,1095,5740
"Providence-Warwick, RI-MA",310M200US39300,760076,679564,615079,64485,49209,8584,6692,20616,13276,99,833,6312,96,2900,24509,7289,25198
"Provo-Orem, UT",310M200US39340,231465,198862,169292,29570,22560,3920,3090,3830,2707,18,329,776,0,2803,9541,2499,13930
"Pueblo, CO",310M200US39380,64429,59223,51327,7896,5737,1211,948,680,668,0,12,0,0,352,1671,538,1965
"Punta Gorda, FL",310M200US39460,53037,46210,41284,4926,3909,671,346,206,206,0,0,0,0,470,533,2254,3364
"Racine, WI",310M200US39540,89005,81935,74579,7356,5944,941,471,1285,1216,0,0,69,0,305,1615,1080,2785
"Raleigh, NC",310M200US39580,579346,521306,467567,53739,41377,6999,5363,5825,5610,116,59,40,0,1339,7514,6572,36790
"Rapid City, SD",310M200US39660,69816,63780,56932,6848,5127,1222,499,332,312,20,0,0,0,277,2001,532,2894
"Reading, PA",310M200US39740,192172,173548,153938,19610,15072,2726,1812,3546,3348,82,40,76,0,334,5848,2134,6762
"Redding, CA",310M200US39820,66123,59422,54018,5404,4114,824,466,483,395,76,0,12,0,505,1360,617,3736
"Reno, NV",310M200US39900,200883,178348,156681,21667,16433,3043,2191,4223,4143,11,11,23,35,1373,5169,3271,8499
"Richmond, VA",310M200US40060,587512,533809,480750,53059,41317,6493,5249,9820,9387,0,180,246,7,2609,9028,5916,26330
"Riverside-San Bernardino-Ontario, CA",310M200US40140,1673427,1518624,1287217,231407,173870,32472,25065,25917,18710,289,659,6190,69,6762,27287,18852,75985
"Roanoke, VA",310M200US40220,144387,133240,120396,12844,10779,1384,681,1694,1602,0,41,9,42,307,2787,1431,4928
"Rochester, MN",310M200US40340,109870,95245,83368,11877,9684,1268,925,4341,4287,0,47,0,7,654,3489,945,5196
"Rochester, NY",310M200US40380,502324,449406,410905,38501,31813,4061,2627,10522,10330,26,149,8,9,2586,17988,3940,17882
"Rockford, IL",310M200US40420,152095,141652,127921,13731,11050,1570,1111,1638,1383,9,36,210,0,444,1782,1153,5426
"Rocky Mount, NC",310M200US40580,60535,56771,50598,6173,4955,738,480,337,324,0,13,0,0,38,959,738,1692
"Rome, GA",310M200US40660,38202,35221,31433,3788,2950,452,386,156,123,0,33,0,0,212,1111,492,1010
"Sacramento--Roseville--Arden-Arcade, CA",310M200US40900,925846,801942,698619,103323,81566,13490,8267,24314,17527,1892,2433,2447,15,17314,19690,10526,52060
"Saginaw, MI",310M200US40980,78853,73700,67243,6457,4878,1034,545,379,379,0,0,0,0,349,1559,304,2562
"St. Cloud, MN",310M200US41060,99137,86882,78500,8382,6247,1230,905,1259,1249,0,4,6,0,507,3640,581,6268
"St. George, UT",310M200US41100,54169,48823,42842,5981,4823,761,397,181,152,14,0,15,0,368,1457,758,2582
"St. Joseph, MO-KS",310M200US41140,57270,53407,47448,5959,4883,792,284,596,590,0,0,6,0,39,1062,623,1543
"St. Louis, MO-IL",310M200US41180,1318320,1195076,1093596,101480,82561,11506,7413,34179,27902,585,4626,982,84,3321,23359,10691,51694
"Salem, OR",310M200US41420,162149,142390,119216,23174,17109,3371,2694,2299,2227,38,0,34,0,1868,6369,1670,7553
"Salinas, CA",310M200US41500,177092,147547,125613,21934,15698,3466,2770,3267,3221,14,5,27,0,1241,5476,10969,8592
