msa,auto_commuters,annual_excess_fuel_consumed_commuters,Annual Hours of Delay (Person Hours),AHD per Auto Commuter,tti,ahd_truck,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm,ms_cara,ms_carp,ms_pt,ms_taxi,ms_bike,ms_walk,ms_wfh,unemp,med_hh_inc_dol,households
"Ann Arbor, MI",175,2706,6726,21,1.1,329,12496,31721,5.076984635083226,8388334.793999938,264.4410577850616,2.7586427656850194,10159,4447092.615000017,17167,259.0489086619687,1.0600540481770675,0.0184656608609541,6.6750450166501984,5.42667912325139,4480.834856328646,2375.52363943164,20.446091597870257,1872.0472998803807,0.7184635718717126,0.079346154883608,0.051482210773339,0.0060313435653979,0.0155423084185256,0.0700995333531141,0.0590348771343025,4.2,72586,141245
"Anniston-Oxford, AL",47,710,1818,21,1.06,66,10739,27487,5.119098612533755,6447881.509999957,234.5793105831832,2.646615141074588,8080,3334313.133000012,14184,235.0756579949247,1.0796032509137057,0.0071912013536379,6.769308928804128,5.093213161815565,4064.410268881064,2101.778160224029,1.6748064439185255,1586.4248644798015,0.8437519859342895,0.105259813163302,0.0039189103310949,0.0081979367466689,0.0,0.0134725782193318,0.0253987756053127,8.1,47255,44605
"Appleton, WI",128,1707,3821,16,1.05,173,11584,30380,5.245165745856354,9483610.090000046,312.166230743912,2.843232044198895,9387,4909793.807000009,16384,299.6700321655279,1.0479884715953112,0.005615234375,4.298777925134903,3.4834796601555023,3519.3312936359494,1822.005631430913,33.44992959305511,2694.719336923289,0.8550369908332215,0.06338578636116,0.0049347429591087,0.0069086401427522,0.0037819870038609,0.0213101939946152,0.0446416587052813,2.6,67616,93455
"Asheville, NC",175,3329,8689,28,1.08,318,39255,88100,4.488600178321233,23134697.787000045,262.5958886152105,2.301439307094637,24634,11965018.655000024,45156,264.9707382186204,1.1947501884902387,0.0079945079280715,7.427420555337016,4.660987847667101,4377.305563232045,2263.8956948958867,10.784282521444371,5285.145725563243,0.7920535643067279,0.0875299703932397,0.0043589033768598,0.0098157436645755,0.0021771056693896,0.0197300201288433,0.084334692460364,3.3,52735,191756
"Athens-Clarke County, GA",78,1587,3772,26,1.1,128,11515,28029,4.868258792878854,9397343.400999917,335.27216101180625,2.583673469387755,8571,4873670.081000014,14839,328.4365577869138,1.0861214025469257,0.0093672080328863,4.306523094756635,3.205489313517943,3514.535508967868,1822.715828054798,16.278567026702095,2673.8507484192937,0.7627869139438375,0.1032117885718404,0.0280606728382984,0.0116361689201017,0.0089176303405381,0.0293581571603628,0.0560286682250208,5.1,47214,78662
"Atlanta-Sandy Springs-Alpharetta, GA",2417,121952,230899,78,1.3,10674,250655,575914,4.5952723863477685,128448503.05699986,223.0341736040448,2.477213700105723,173864,68248984.79499905,310903,219.51857909058143,1.0890812833215182,0.0084174163645895,10.945396980942135,7.592150568289178,5608.983892468226,2980.2406978817435,445.2676842524541,22900.494192804013,0.7734126738285919,0.0922051498519628,0.0300456449355332,0.0156573924249917,0.001900209761597,0.01322166582139,0.0735572633759331,5.2,68316,2104360
"Atlantic City-Hammonton, NJ",139,2063,5097,21,1.07,220,12717,33807,5.316820004718094,6918526.678000042,204.6477557310629,2.897538727687348,10507,3732094.506999977,18410,202.7210487235185,1.0510002610571572,0.0106463878326996,7.221586111836102,5.966596310219543,3928.8146710869446,2119.339613101426,5.7773978524866125,1760.970485300587,0.7761252634362504,0.0781774618768681,0.0549550054890899,0.0184385342126561,0.0039425288277387,0.0366046172461596,0.031756588911237,8.4,62110,99850
"Auburn-Opelika, AL",50,1181,2672,30,1.09,83,9142,21769,4.7624152264274775,5782902.4170000125,265.6485101290832,2.4784511047910742,6326,3006122.5040000025,11301,266.00499991151247,1.0777767976921095,0.0125652597115299,5.712743193802098,3.9530533191853054,3613.677141012746,1878.495501472472,4.330159621106172,1600.2819818539,0.8305470198854792,0.0896944756541632,0.0072286220946759,0.0083521719708147,0.0027344225901208,0.0215911090655584,0.0398521787391875,5.2,51463,60237
"Augusta-Richmond County, GA-SC",225,3749,8536,26,1.09,435,37974,94149,4.958603254858588,30318880.458000056,322.03082834655766,2.6260336019381683,28632,15798563.057000026,49810,317.17653196145403,1.083787966107795,0.0089540252961252,4.09306863524814,3.08613106768907,3267.953301166003,1702.865195412566,31.32629074635549,9277.635775022338,0.8407494597843777,0.0875980409210918,0.0081911764137413,0.0155744453850703,0.0014573258650214,0.0155087304256396,0.0309208212050577,7.0,53269,215210
"Austin-Round Rock-Georgetown, TX",893,30205,81069,68,1.35,3545,87049,214823,4.935679904421647,47402749.31599899,220.65956306354065,2.704901836896461,67750,25931301.05200032,117895,219.9525090292236,1.0787937397568508,0.0038763306331905,7.855598299273483,6.113990795710215,4277.785579474192,2340.128943951595,152.28661676244275,11081.141968276386,0.7625914249967488,0.0915303793324573,0.0202424247859836,0.0119149584971995,0.0076162459584658,0.0181365668596438,0.0879679995695009,4.2,76844,764989
"Bakersfield, CA",289,3598,9684,26,1.15,459,41727,108328,5.192225657248304,35767635.07700043,330.1790402942954,2.744002684113404,32222,18978067.01999985,57222,331.6568281430193,1.0763729852558854,0.0028485547516689,1.9747034222298163,1.5248854140266288,1692.6803123066593,898.1248086778469,54.93725626128381,21130.76805877121,0.8053597994298212,0.1206295675057343,0.0081792803418702,0.0182996580112494,0.0034613766084436,0.0101233411767495,0.0339469769261316,9.8,53350,270282
"Baltimore-Columbia-Towson, MD",1275,39125,102994,63,1.26,4231,91320,218780,4.791502409110819,42454624.83899869,194.05167217752395,2.663250109505037,68878,23469613.13700013,121763,192.74831547350288,1.0814034828480072,0.0195543802304476,11.327782353172497,8.543966194938845,5266.280662086817,2911.28635051572,151.80662617506303,8061.595566799057,0.765049999750518,0.0811657508302403,0.061973459395384,0.0120941730278628,0.0029973476502718,0.0259183253059539,0.0508009440397688,5.1,81598,1049909
"Bangor, ME",36,723,1689,28,1.09,88,9041,21349,4.7227076650812965,11606909.526999958,543.6746230268377,2.4425395420860525,6178,6016368.348000005,11001,546.8928595582224,1.09022333741624,0.0149077356603945,0.9821397226968388,0.6711269999802091,1260.878985091808,653.5686694996973,10.063578935071568,9205.411196662008,0.7976437587657784,0.0991444600280505,0.0042215988779803,0.0133099579242636,0.0022440392706872,0.0378401122019635,0.0455960729312763,5.0,50808,62156
"Barnstable Town, MA",142,2195,5252,20,1.05,226,23380,59937,5.127202737382378,9525890.585000051,158.93172139079456,2.653421727972626,18474,4922310.030000028,31060,158.4774639407607,1.120357534377341,0.0584352865421764,8.34070988676913,6.590516443463341,3398.3186391185163,1756.011973180671,29.236382332577,2803.1187173993067,0.7980096722606501,0.0756247471146991,0.0147010654900676,0.0103273540008863,0.0048842989537773,0.0234581221941773,0.072994739985742,4.1,74336,94323
"Battle Creek, MI",45,542,1313,15,1.05,88,6826,18810,5.511280398476414,6619370.204000018,351.90697522594456,2.848666861998242,5621,3439490.942000014,9661,356.0181080633489,1.042991410343491,0.0067280819790911,3.669016105001818,3.0213213486983914,3557.9513453626187,1848.747093349828,2.746272716522151,1860.4442729739987,0.8242577212340331,0.0902160751743779,0.0099254736770298,0.0075379026894281,0.0033255453041594,0.030629124955233,0.0341081569657383,6.3,48607,53991
"Bay City, MI",42,526,1244,17,1.06,44,4978,13969,5.61229409401366,4711197.50999999,337.26089984966643,2.904379268782644,3969,2461823.9550000075,7179,342.9201776013383,1.0299771884450994,0.0061289873241398,4.240714915161481,3.3811565886452226,4013.428193838608,2097.20642114712,1.1113924281334322,1173.8586770364034,0.8646283468328593,0.0696836116479555,0.0059064949729647,0.0049510325508675,0.0050813228811535,0.0134199040194566,0.0363292870947427,6.4,48819,44339
"Beaumont-Port Arthur, TX",82,1999,4772,42,1.12,210,28576,72659,5.085316349384098,19188755.617000137,264.0933073260041,2.69138437849944,21535,10114921.832000006,38424,263.2448946491777,1.07307018788266,0.0045544451384551,4.210608380374783,3.173133100201951,2827.419345251416,1490.4106464394974,11.70227902745086,6786.667725545274,0.8825453643965825,0.0756607390118694,0.0047707442723859,0.008041939014288,0.0006288433514932,0.0092452065810875,0.0191071633722934,4.7,54016,145308
"Beckley, WV",37,517,1168,12,1.05,129,10967,25596,4.6678216467584575,8739234.813000096,341.4297082747342,2.387435032369837,7252,4548089.799000002,13054,348.405837214647,1.1807730435381223,0.0062815995097288,3.315569563731801,2.192441914487373,2642.0662857926955,1374.98934172367,1.6899177748644525,3307.727311761247,0.8098206601381684,0.1066734898001907,0.0026284571189318,0.0175385545811914,0.0003954316019632,0.0250052336535553,0.0379381731059989,7.9,42817,48644
"Bellingham, WA",69,1417,3537,28,1.13,129,9509,23068,4.851824587233147,6308885.12599995,273.490771891796,2.5352823640761386,6590,3262893.231999994,12058,270.5998699618505,1.095053618684618,0.0080444518162215,1.467396782245734,1.0169465553685335,973.5658569197916,503.5186696233226,9.72430986936795,6480.183216326283,0.7630606457034271,0.0856258892506899,0.0250756758305243,0.0103415677549344,0.0178948273063223,0.0369832796997794,0.0610181144543223,5.7,62984,86523
"Bend, OR",56,1237,2582,24,1.11,199,12623,32310,5.119226808207241,9682531.40799993,299.675995295572,2.6916739285431355,9764,4949627.7939999895,17008,291.0176266462835,1.1069313693630525,0.029574317968015,1.5961814690569656,1.2346602126176196,1224.358489028879,625.8816575704737,14.779974804385038,7908.248682687534,0.7444559051057246,0.0927865103033836,0.0026459178868533,0.0101015763392156,0.0165369867928335,0.0211112855124784,0.1123618180595107,5.4,67043,74397
"Billings, MT",68,1217,2710,21,1.1,91,13038,33362,5.1176560822212,16933092.497999933,507.5562765421717,2.6675870532290227,9776,8766506.810000036,17353,505.1868155362206,1.0996543066764728,0.0040915115541981,0.772427427237835,0.579172459631621,1003.1895285634585,519.3657233556747,17.541709356325928,16879.25563003801,0.8157780037774226,0.0887023770940667,0.0061578694442271,0.0099799953061612,0.0043809161926262,0.0313816649716693,0.0436191732138267,3.3,61278,74670
"Binghamton, NY",91,1329,3539,20,1.06,145,10477,26912,5.137348477617639,10415024.979999963,387.0030090665861,2.6803474276987687,8245,5483928.640000017,13961,392.80342668863386,1.0716749194213036,0.0052288518014468,3.268159337759143,2.5719169361290577,3248.827063222451,1710.6378345347766,8.83843013998542,3205.780048405992,0.8138810729694241,0.0853592196586006,0.0267867191896454,0.0059088351153629,0.0023822922528606,0.0362689926842993,0.0294128681298067,6.2,54295,98579
"Birmingham-Hoover, AL",417,11276,28789,51,1.17,1473,78431,189591,4.834593464318956,47035196.51400066,248.08770729623592,2.524945493491094,55084,24575308.492000222,98997,248.2429618271283,1.0926746375976344,0.0064143357879531,6.638502561209091,4.662381903604972,3981.1206350188863,2080.08629708466,30.1243205090974,11814.56198545401,0.8443195384408525,0.0927416890424522,0.0057613403469027,0.008976119366497,0.0009473208137587,0.010997070435849,0.0362569215536876,5.7,57447,417562
