msa,auto_commuters,annual_excess_fuel_consumed_commuters,Annual Hours of Delay (Person Hours),AHD per Auto Commuter,tti,dvmt_freeway,ahd_truck,vmt_arterial
"Tampa-St., Petersburg",1380,40492,98821,53,1.25,17908,3909,31965
"Toledo, OH-MI",263,4075,11042,39,1.13,4446,490,4693
"Tucson, AZ",433,13696,31552,50,1.2,4177,1867,9754
"Tulsa, OK",399,8317,21870,41,1.13,7395,1021,8160
"Virginia, Beach",751,14318,38378,43,1.16,12950,1215,14757
"Washington, DC-VA-MD",1903,98110,256476,105,1.36,45408,9809,43614
"Wichita, KS",278,4021,10790,36,1.13,4375,426,2636
"Winston-Salem, NC",217,2794,7752,26,1.1,6359,290,2618
"Worcester, MA-CT",251,5575,13085,42,1.13,7166,570,5811
"Aberdeen-Bel, Air",124,1943,5257,23,1.11,,222,
"Abilene, TX",64,1282,2548,20,1.07,,172,
"Aguadilla-Isabela-San, Sebastian",152,2786,4759,16,1.22,,475,
"Albany, GA",54,870,1905,18,1.08,,96,
"Albany, OR",35,465,1046,9,1.06,,78,
"Alexandria, LA",46,1167,2482,27,1.11,,234,
"Alton, IL-MO",47,6,13,2,1.03,,1,
"Altoona, PA",45,644,1393,17,1.06,,50,
"Amarillo, TX",116,2198,4600,20,1.1,,239,
"Ames, IA",36,400,939,8,1.08,,23,
"Anderson, IN",52,651,1476,16,1.04,,109,
"Anderson, SC",46,938,1948,22,1.1,,116,
"Ann, Arbor",175,2706,6726,21,1.1,,329,
"Anniston-Oxford, AL",47,710,1818,21,1.06,,66,
"Antioch, CA",176,2704,9345,33,1.23,,191,
"Appleton, WI",128,1707,3821,16,1.05,,173,
"Arecibo, PR",72,1321,3462,25,1.2,,349,
"Arroyo, Grande-Grover",31,1402,2223,21,1.14,,146,
"Asheville, NC",175,3329,8689,28,1.08,,318,
"Athens-Clarke, County",78,1587,3772,26,1.1,,128,
"Atlantic, City",139,2063,5097,21,1.07,,220,
"Auburn, AL",50,1181,2672,30,1.09,,83,
"Augusta-Richmond, County",225,3749,8536,26,1.09,,435,
"Avondale-Goodyear, AZ",135,2436,6054,23,1.09,,395,
"Bangor, ME",36,723,1689,28,1.09,,88,
"Barnstable, Town",142,2195,5252,20,1.05,,226,
"Battle, Creek",45,542,1313,15,1.05,,88,
"Bay, City",42,526,1244,17,1.06,,44,
"Beckley, WV",37,517,1168,12,1.05,,129,
"Bellingham, WA",69,1417,3537,28,1.13,,129,
"Beloit, WI-IL",37,339,756,11,1.04,,44,
"Bend, OR",56,1237,2582,24,1.11,,199,
"Benton, Harbor-St.",34,333,790,14,1.03,,44,
"Billings, MT",68,1217,2710,21,1.1,,91,
"Binghamton, NY-PA",91,1329,3539,20,1.06,,145,
"Bismarck, ND",52,791,1808,19,1.09,,36,
"Blacksburg, VA",53,598,1401,15,1.07,,28,
"Bloomington, IN",67,847,1888,16,1.1,,112,
"Bloomington-Normal, IL",77,678,1581,11,1.04,,52,
"Bloomsburg-Berwick, PA",30,287,778,10,1.04,,41,
"Bonita, Springs",208,4939,11485,32,1.14,,402,
"Bowling, Green",53,1397,2808,32,1.14,,141,
"Bremerton, WA",123,2059,5142,25,1.14,,183,
"Bristol, TN-VA",42,676,1771,23,1.05,,120,
"Brunswick, GA",44,687,1513,21,1.05,,73,
"Burlington, NC",78,948,2105,16,1.04,,86,
"Burlington, VT",65,1289,3024,25,1.1,,116,
"Camarillo, CA",43,724,2845,37,1.19,,95,
"Canton, OH",160,2776,6366,22,1.06,,282,
"Cape, Girardeau",31,550,1224,18,1.08,,55,
"Carbondale, IL",40,319,784,11,1.05,,28,
"Carson, City",34,512,1193,13,1.09,,56,
"Cartersville, GA",39,628,1462,22,1.04,,72,
"Casa, Grande",34,508,907,10,1.05,,77,
"Casper, WY",44,450,1116,15,1.09,,57,
"Cedar, Rapids",108,1567,3752,19,1.09,,181,
"Chambersburg, PA",30,404,872,8,1.05,,67,
"Champaign, IL",87,826,1875,12,1.06,,69,
"Charleston, WV",101,1087,2669,17,1.05,,250,
"Charlottesville, VA",60,1561,4026,38,1.18,,83,
"Chattanooga, TN-GA",228,6079,12878,32,1.13,,1065,
"Cheyenne, WY",45,513,1193,14,1.06,,48,
"Chico, CA",62,780,1793,17,1.1,,72,
"Clarksville, TN-KY",103,2049,3995,22,1.12,,280,
"Cleveland, TN",47,882,1865,24,1.07,,143,
"Coeur, d'Alene",65,1150,2632,23,1.09,,70,
"College, Station-Bryan",114,2677,5657,32,1.16,,254,
"Columbia, MO",76,1199,2845,20,1.1,,186,
"Columbus, GA-AL",152,2521,5458,20,1.08,,266,
"Columbus, IN",34,387,877,10,1.05,,52,
"Concord, CA",368,12940,41430,49,1.2,,1906,
"Concord, NC",140,2163,5195,23,1.11,,256,
"Conroe-The, Woodlands",166,3838,9533,34,1.18,,507,
"Conway, AR",46,851,1933,26,1.05,,55,
"Corvallis, OR",38,406,905,11,1.11,,40,
"Cumberland, MD-WV-PA",30,687,1518,23,1.1,,98,
"Dalton, GA",52,791,1772,20,1.05,,92,
"Danbury, CT-NY",100,1388,3479,20,1.11,,143,
"Danville, IL",28,247,541,9,1.05,,22,
"Daphne-Fairhope, AL",40,1027,2564,26,1.11,,83,
"Davenport, IA-IL",166,1733,4002,14,1.05,,138,
"Davis, CA",45,1018,3194,40,1.19,,172,
"DeKalb, IL",43,281,641,9,1.04,,20,
"Decatur, AL",52,839,1876,24,1.08,,82,
"Decatur, IL",36,463,1091,11,1.07,,48,
"Delano, CA",30,321,1087,15,1.13,,72,
"Deltona, FL",116,1540,3343,16,1.08,,139,
"Denton-Lewisville, TX",236,5280,12450,32,1.18,,554,
"Des, Moines",287,3641,8791,17,1.07,,353,
"Dothan, AL",47,1298,2901,33,1.11,,131,
"Dover, DE",67,1219,2777,22,1.09,,120,
"Dover-Rochester, NH-ME",52,772,1827,20,1.07,,77,
"Dubuque, IA-IL",42,573,1214,14,1.09,,61,
