msa,auto_commuters,annual_excess_fuel_consumed_commuters,ahd,tti
"Abilene, TX",62,788,1694,1.06
"Akron, OH",298,6453,14470,1.11
"Albany, GA",53,810,1752,1.07
"Albany-Schenectady-Troy, NY",300,5172,13605,1.14
"Albuquerque, NM",380,8950,18864,1.15
"Allentown-Bethlehem-Easton, PA-NJ",329,5627,13837,1.14
"Altoona, PA",45,668,1423,1.05
"Ames, IA",34,397,914,1.07
"Ann Arbor, MI",166,2778,6840,1.11
"Anniston-Oxford, AL",42,521,1301,1.05
"Appleton, WI",124,1515,3465,1.06
"Asheville, NC",163,2963,7882,1.08
"Athens-Clarke County, GA",71,1343,3225,1.09
"Atlanta-Sandy Springs-Alpharetta, GA",2069,115636,208509,1.25
"Atlantic City-Hammonton, NJ",138,2093,5232,1.08
"Auburn-Opelika, AL",46,788,1747,1.06
"Augusta-Richmond County, GA-SC",209,3314,7894,1.1
"Austin-Round Rock-Georgetown, TX",705,23541,58506,1.33
"Bakersfield, CA",271,3222,7834,1.12
"Baltimore-Columbia-Towson, MD",1261,35600,86755,1.26
"Bangor, ME",33,699,1591,1.09
"Barnstable Town, MA",140,2131,5223,1.05
"Battle Creek, MI",43,521,1243,1.04
"Bay City, MI",39,495,1096,1.05
"Beaumont-Port Arthur, TX",78,1831,4161,1.13
"Bellingham, WA",64,978,2601,1.1
"Bend, OR",48,774,1580,1.09
"Billings, MT",65,913,2010,1.08
"Binghamton, NY",90,1338,2983,1.05
"Birmingham-Hoover, AL",415,8955,21543,1.14
"Bismarck, ND",50,587,1352,1.08
"Blacksburg-Christiansburg, VA",52,483,1125,1.06
"Bloomington, IN",64,793,1735,1.1
"Bloomington, IL",76,546,1271,1.04
"Boise City, ID",186,4670,11145,1.15
"Boston-Cambridge-Newton, MA-NH",1704,71602,174013,1.27
"Boulder, CO",64,1859,3895,1.2
"Bowling Green, KY",47,1436,2949,1.13
"Bremerton-Silverdale-Port Orchard, WA",116,1920,5125,1.15
"Bridgeport-Stamford-Norwalk, CT",479,14794,35036,1.31
"Brownsville-Harlingen, TX",112,1688,3836,1.14
"Brunswick, GA",44,685,1464,1.06
"Buffalo-Cheektowaga, NY",451,10425,23489,1.17
"Burlington, NC",68,723,1743,1.04
"Burlington-South Burlington, VT",62,1275,3006,1.1
"Canton-Massillon, OH",159,2641,6576,1.06
"Cape Coral-Fort Myers, FL",290,5444,14274,1.18
"Cape Girardeau, MO-IL",31,576,1303,1.09
"Carbondale-Marion, IL",38,323,742,1.05
"Carson City, NV",33,506,1144,1.09
"Casper, WY",39,390,965,1.07
"Cedar Rapids, IA",103,1133,2777,1.06
"Champaign-Urbana, IL",84,758,1678,1.06
"Charleston, WV",96,951,2246,1.05
"Charleston-North Charleston, SC",298,8498,19768,1.23
"Charlotte-Concord-Gastonia, NC-SC",600,15686,44377,1.23
"Charlottesville, VA",56,1629,4277,1.19
"Chattanooga, TN-GA",223,4988,10646,1.11
"Cheyenne, WY",43,411,984,1.04
"Chicago-Naperville-Elgin, IL-IN-WI",3445,132666,310635,1.29
"Chico, CA",58,821,1812,1.09
