msa,Date,Country,Specie,count,min,max,median,variance
Oklahoma City,2019-12-25,US,wind speed,95,0.4,14.2,8.6,145.27
Oklahoma City,2019-12-26,US,wind speed,76,0.1,9.6,4.0,63.17
Oklahoma City,2019-12-27,US,wind speed,94,0.2,8.0,4.1,51.56
Oklahoma City,2019-12-28,US,wind speed,58,4.7,19.0,11.2,102.95
Oklahoma City,2019-10-10,US,dew,43,-0.3,22.0,8.0,555.5
Oklahoma City,2019-11-29,US,dew,32,5.0,13.3,7.0,61.19
Oklahoma City,2019-12-27,US,dew,30,0.0,10.0,4.5,100.12
Oklahoma City,2019-11-02,US,dew,45,-7.0,0.0,-1.0,32.11
Oklahoma City,2019-11-05,US,dew,43,2.0,10.3,6.0,64.05
Oklahoma City,2019-11-16,US,dew,15,-1.0,1.0,0.0,4.95
Oklahoma City,2019-11-27,US,dew,37,-6.0,-2.0,-4.0,10.92
Oklahoma City,2019-12-12,US,dew,45,-1.0,3.0,1.0,11.06
Oklahoma City,2019-12-22,US,dew,40,-1.0,4.0,2.0,10.72
Oklahoma City,2019-10-01,US,dew,34,19.0,22.0,21.0,10.42
Oklahoma City,2019-10-17,US,dew,22,2.0,7.0,4.0,20.59
Oklahoma City,2019-10-21,US,dew,48,-7.0,2.0,-2.0,57.94
Oklahoma City,2019-10-31,US,dew,20,-11.0,-5.0,-7.0,41.63
Oklahoma City,2019-11-15,US,dew,20,-4.3,1.0,-2.0,15.48
Oklahoma City,2019-11-21,US,dew,39,3.0,17.0,6.0,247.11
Oklahoma City,2019-12-17,US,dew,41,-9.0,-2.0,-6.6,34.49
Oklahoma City,2019-12-23,US,dew,39,-3.6,4.0,1.3,34.53
Oklahoma City,2019-10-13,US,dew,40,-1.0,9.0,3.0,127.69
Oklahoma City,2019-10-15,US,dew,46,2.0,20.0,18.0,488.71
Oklahoma City,2019-10-25,US,dew,29,4.0,7.0,5.0,12.63
Oklahoma City,2019-11-01,US,dew,21,-8.0,-0.6,-6.0,55.74
Oklahoma City,2019-11-10,US,dew,37,7.3,13.0,11.0,30.99
Oklahoma City,2019-12-03,US,dew,19,-3.0,1.0,-1.0,11.72
Oklahoma City,2019-12-08,US,dew,36,3.3,9.0,7.0,20.35
Oklahoma City,2019-10-03,US,dew,42,12.0,19.0,16.0,41.34
Oklahoma City,2019-10-09,US,dew,35,9.0,18.0,13.0,102.47
Oklahoma City,2019-11-09,US,dew,34,0.0,9.0,8.0,115.14
Oklahoma City,2019-11-25,US,dew,32,-2.0,4.0,3.0,20.39
Oklahoma City,2019-12-24,US,dew,38,-3.0,3.0,1.0,26.93
Oklahoma City,2019-10-19,US,dew,24,7.0,11.0,9.0,15.15
Oklahoma City,2019-11-17,US,dew,33,-1.0,3.0,1.0,20.64
Oklahoma City,2019-11-18,US,dew,36,-1.0,4.0,2.0,21.64
Oklahoma City,2019-11-24,US,dew,36,-1.6,3.0,0.3,14.92
Oklahoma City,2019-12-14,US,dew,37,-1.0,2.0,0.0,6.06
Oklahoma City,2019-12-21,US,dew,38,1.0,6.0,4.0,12.6
Oklahoma City,2019-09-30,US,dew,30,20.0,22.0,21.0,5.87
Oklahoma City,2019-10-22,US,dew,45,-4.0,1.0,-3.0,29.07
Oklahoma City,2019-10-27,US,dew,46,2.0,7.0,5.0,27.18
Oklahoma City,2019-10-30,US,dew,28,-5.0,1.0,-2.0,43.34
Oklahoma City,2019-11-03,US,dew,37,-3.0,3.0,1.0,45.5
Oklahoma City,2019-11-07,US,dew,47,-6.0,10.3,-1.0,146.36
Oklahoma City,2019-12-19,US,dew,47,-11.0,-6.0,-8.0,19.44
Oklahoma City,2019-10-05,US,dew,39,11.0,21.0,19.0,112.8
Oklahoma City,2019-10-08,US,dew,43,5.0,11.0,7.0,20.15
Oklahoma City,2019-10-11,US,dew,43,-9.0,0.0,-3.0,64.21
Oklahoma City,2019-12-10,US,dew,21,-12.0,-8.0,-9.0,14.3
Oklahoma City,2019-10-02,US,dew,30,19.0,22.0,20.0,7.75
Oklahoma City,2019-10-04,US,dew,39,12.0,21.0,18.0,110.55
Oklahoma City,2019-10-14,US,dew,32,9.6,18.0,13.0,73.1
Oklahoma City,2019-10-23,US,dew,44,0.0,12.6,7.0,180.36
Oklahoma City,2019-11-14,US,dew,13,-6.6,-1.0,-4.6,64.49
Oklahoma City,2019-12-02,US,dew,14,-6.0,-3.0,-4.0,9.82
Oklahoma City,2019-12-20,US,dew,45,-6.0,5.0,-1.0,114.27
Oklahoma City,2019-10-20,US,dew,46,1.0,18.0,10.0,124.09
Oklahoma City,2019-10-24,US,dew,36,5.0,13.0,7.0,78.68
Oklahoma City,2019-12-07,US,dew,48,-7.0,3.0,-3.0,82.05
Oklahoma City,2019-12-13,US,dew,41,0.0,5.0,2.0,15.2
Oklahoma City,2019-10-12,US,dew,46,-7.0,-0.6,-3.0,30.64
Oklahoma City,2019-12-06,US,dew,30,-3.0,5.0,1.0,47.84
Oklahoma City,2019-12-09,US,dew,46,-9.0,7.0,-2.5,318.19
Oklahoma City,2019-12-18,US,dew,40,-12.0,-6.0,-9.0,17.19
Oklahoma City,2019-12-25,US,dew,27,2.0,9.0,4.0,58.4
Oklahoma City,2019-10-16,US,dew,16,1.0,5.3,2.0,26.83
Oklahoma City,2019-10-26,US,dew,38,1.0,7.0,4.0,32.33
Oklahoma City,2019-10-28,US,dew,37,-1.0,5.0,1.0,22.27
Oklahoma City,2019-10-29,US,dew,32,-4.0,2.0,-1.0,33.8
Oklahoma City,2019-11-08,US,dew,45,-8.0,2.0,-5.0,80.99
Oklahoma City,2019-12-16,US,dew,36,-5.0,-1.0,-3.0,8.6
Oklahoma City,2019-12-26,US,dew,40,-1.0,10.0,3.0,128.27
Oklahoma City,2019-12-11,US,dew,45,-8.0,2.0,-2.0,81.43
Oklahoma City,2019-11-04,US,dew,31,3.0,9.0,6.0,31.13
Oklahoma City,2019-11-11,US,dew,46,-14.0,10.5,-6.0,625.6
Oklahoma City,2019-11-19,US,dew,42,1.0,8.0,3.0,18.79
Oklahoma City,2019-11-26,US,dew,45,-9.0,7.0,3.0,188.26
Oklahoma City,2019-11-28,US,dew,31,-2.0,5.0,3.0,28.64
Oklahoma City,2019-11-30,US,dew,48,-8.0,13.3,-3.0,493.73
Oklahoma City,2019-12-05,US,dew,26,2.0,7.0,4.0,27.02
Oklahoma City,2019-11-12,US,dew,19,-16.0,-11.0,-14.0,23.99
Oklahoma City,2019-11-22,US,dew,31,-1.0,4.0,2.0,13.4
Oklahoma City,2019-12-15,US,dew,43,-1.0,3.0,0.0,14.41
Oklahoma City,2019-11-06,US,dew,42,8.3,18.0,14.0,48.61
Oklahoma City,2019-11-20,US,dew,42,6.6,17.0,14.0,106.82
Oklahoma City,2019-11-23,US,dew,36,-1.0,3.0,1.0,16.13
Oklahoma City,2019-12-01,US,dew,16,-7.0,-3.0,-5.0,21.96
Oklahoma City,2019-12-28,US,dew,4,12.0,12.6,12.0,1.02
Oklahoma City,2019-10-06,US,dew,45,4.0,16.0,12.5,119.31
Oklahoma City,2019-10-07,US,dew,40,3.0,7.3,6.0,13.16
Oklahoma City,2019-10-18,US,dew,21,4.0,9.3,6.6,24.02
Oklahoma City,2019-11-13,US,dew,18,-11.3,-7.0,-10.0,22.22
Oklahoma City,2019-12-04,US,dew,20,-2.0,2.0,1.0,15.9
Oklahoma City,2019-11-24,US,temperature,96,0.0,21.6,11.5,472.11
Oklahoma City,2019-11-25,US,temperature,96,1.0,19.0,9.2,256.4
Oklahoma City,2019-12-06,US,temperature,96,1.3,13.7,7.5,75.07
Oklahoma City,2019-12-26,US,temperature,96,3.6,19.1,10.9,125.88
