msa,Date,Country,Specie,count,min,max,median,variance
Oklahoma City,4/9/2019,US,pm25,96,18.0,89.0,37.0,1414.32
Oklahoma City,4/19/2019,US,pm25,95,10.0,48.0,14.0,438.07
Oklahoma City,5/1/2019,US,pm25,96,8.0,52.0,29.0,1075.66
Oklahoma City,4/6/2019,US,pm25,96,12.0,59.0,26.0,2604.07
Oklahoma City,4/16/2019,US,pm25,96,23.0,45.0,28.0,137.7
Oklahoma City,4/17/2019,US,pm25,96,23.0,51.0,35.0,568.94
Oklahoma City,5/14/2019,US,pm25,84,19.0,39.0,25.0,126.47
Oklahoma City,5/16/2019,US,pm25,96,30.0,49.0,39.0,191.35
Oklahoma City,6/3/2019,US,pm25,96,12.0,38.0,27.0,263.05
Oklahoma City,6/13/2019,US,pm25,84,14.0,32.0,20.0,141.97
Oklahoma City,6/19/2019,US,pm25,96,12.0,27.0,20.0,103.71
Oklahoma City,4/4/2019,US,pm25,96,14.0,71.0,31.0,1269.53
Oklahoma City,6/25/2019,US,pm25,95,20.0,43.0,30.0,276.09
Oklahoma City,4/20/2019,US,pm25,96,12.0,49.0,23.0,959.09
Oklahoma City,4/24/2019,US,pm25,96,15.0,56.0,35.0,858.08
Oklahoma City,4/25/2019,US,pm25,96,14.0,59.0,27.0,1888.17
Oklahoma City,5/18/2019,US,pm25,96,10.0,52.0,25.0,1760.16
Oklahoma City,5/21/2019,US,pm25,96,7.0,53.0,16.0,883.14
Oklahoma City,5/24/2019,US,pm25,96,19.0,59.0,50.0,671.56
Oklahoma City,6/2/2019,US,pm25,96,18.0,35.0,25.0,196.31
Oklahoma City,4/2/2019,US,pm25,96,23.0,65.0,37.0,1057.45
Oklahoma City,6/16/2019,US,pm25,96,8.0,25.0,19.0,159.84
Oklahoma City,6/18/2019,US,pm25,95,20.0,39.0,26.0,167.44
Oklahoma City,6/28/2019,US,pm25,96,41.0,68.0,59.0,292.4
Oklahoma City,6/11/2019,US,pm25,96,25.0,55.0,34.0,576.28
Oklahoma City,6/8/2019,US,pm25,96,18.0,48.0,30.0,507.65
Oklahoma City,6/21/2019,US,pm25,88,42.0,64.0,54.0,288.4
Oklahoma City,6/27/2019,US,pm25,96,49.0,70.0,60.0,248.18
Oklahoma City,4/12/2019,US,pm25,96,10.0,83.0,16.0,1094.0
Oklahoma City,4/28/2019,US,pm25,95,15.0,45.0,29.0,656.26
Oklahoma City,5/13/2019,US,pm25,96,15.0,37.0,25.0,232.92
Oklahoma City,5/27/2019,US,pm25,95,33.0,45.0,40.0,77.07
Oklahoma City,5/31/2019,US,pm25,96,20.0,59.0,29.0,1165.18
Oklahoma City,6/6/2019,US,pm25,96,6.0,40.0,15.0,264.56
Oklahoma City,4/21/2019,US,pm25,96,15.0,39.0,21.0,160.28
Oklahoma City,5/28/2019,US,pm25,95,21.0,57.0,48.0,897.79
Oklahoma City,6/14/2019,US,pm25,88,20.0,53.0,38.0,1089.51
Oklahoma City,4/11/2019,US,pm25,95,7.0,54.0,17.0,1309.35
Oklahoma City,4/26/2019,US,pm25,96,16.0,50.0,29.0,389.19
Oklahoma City,5/10/2019,US,pm25,94,5.0,34.0,13.0,184.17
Oklahoma City,5/15/2019,US,pm25,95,22.0,37.0,30.0,156.52
Oklahoma City,5/19/2019,US,pm25,96,8.0,42.0,15.0,340.4
Oklahoma City,6/7/2019,US,pm25,96,11.0,52.0,23.0,814.75
Oklahoma City,6/24/2019,US,pm25,87,14.0,42.0,18.0,274.16
Oklahoma City,6/26/2019,US,pm25,96,26.0,71.0,36.0,1624.89
Oklahoma City,4/14/2019,US,pm25,96,14.0,92.0,22.0,3104.73
Oklahoma City,5/8/2019,US,pm25,96,6.0,45.0,14.0,437.05
Oklahoma City,5/17/2019,US,pm25,96,35.0,58.0,43.0,192.45
Oklahoma City,6/9/2019,US,pm25,96,15.0,46.0,32.0,735.47
Oklahoma City,6/29/2019,US,pm25,96,34.0,58.0,52.0,161.74
Oklahoma City,5/2/2019,US,pm25,96,14.0,51.0,25.0,644.7
Oklahoma City,4/7/2019,US,pm25,96,20.0,48.0,36.0,456.21
Oklahoma City,5/3/2019,US,pm25,96,8.0,52.0,24.0,1242.58
Oklahoma City,5/25/2019,US,pm25,96,8.0,46.0,37.0,1028.76
Oklahoma City,4/3/2019,US,pm25,96,28.0,122.0,37.0,2782.86
Oklahoma City,4/27/2019,US,pm25,96,15.0,40.0,27.0,262.94
Oklahoma City,4/29/2019,US,pm25,94,14.0,45.0,28.0,519.03
Oklahoma City,5/12/2019,US,pm25,96,12.0,52.0,17.0,1476.84
Oklahoma City,5/26/2019,US,pm25,96,5.0,48.0,35.0,1167.43
Oklahoma City,6/4/2019,US,pm25,96,13.0,48.0,21.0,237.39
Oklahoma City,6/23/2019,US,pm25,72,15.0,58.0,25.0,2086.48
Oklahoma City,4/23/2019,US,pm25,96,6.0,48.0,29.0,839.05
Oklahoma City,4/5/2019,US,pm25,96,15.0,57.0,35.0,959.54
Oklahoma City,5/5/2019,US,pm25,96,17.0,39.0,25.0,258.05
Oklahoma City,5/6/2019,US,pm25,94,10.0,40.0,27.0,678.92
Oklahoma City,6/1/2019,US,pm25,96,15.0,41.0,25.0,477.04
Oklahoma City,6/12/2019,US,pm25,96,12.0,43.0,20.0,664.34
Oklahoma City,6/15/2019,US,pm25,96,22.0,53.0,32.0,624.21
Oklahoma City,6/30/2019,US,pm25,96,31.0,55.0,40.0,492.79
Oklahoma City,4/1/2019,US,pm25,96,26.0,72.0,38.0,870.51
Oklahoma City,5/7/2019,US,pm25,96,23.0,52.0,37.0,625.89
Oklahoma City,5/20/2019,US,pm25,96,9.0,73.0,26.0,4583.36
Oklahoma City,5/22/2019,US,pm25,96,13.0,102.0,57.0,7855.35
Oklahoma City,5/29/2019,US,pm25,94,15.0,50.0,25.0,891.33
Oklahoma City,5/30/2019,US,pm25,96,13.0,58.0,25.0,1663.31
Oklahoma City,6/22/2019,US,pm25,72,30.0,63.0,43.0,681.83
Oklahoma City,4/22/2019,US,pm25,96,16.0,45.0,26.0,751.47
Oklahoma City,4/15/2019,US,pm25,96,16.0,28.0,22.0,76.14
Oklahoma City,4/18/2019,US,pm25,94,8.0,43.0,14.0,677.69
Oklahoma City,5/9/2019,US,pm25,95,4.0,24.0,8.0,150.38
Oklahoma City,6/10/2019,US,pm25,95,14.0,59.0,32.0,1190.38
Oklahoma City,4/10/2019,US,pm25,96,20.0,62.0,35.0,921.85
Oklahoma City,4/30/2019,US,pm25,96,14.0,68.0,33.0,2377.12
