msa,Date,Country,Specie,count,min,max,median,variance
Oklahoma City,2019-08-18,US,wind-speed,86,0.1,13.2,6.1,106.25
Oklahoma City,2019-08-20,US,wind-speed,72,1.0,8.5,4.6,42.34
Oklahoma City,2019-08-22,US,wind-speed,71,0.2,11.8,3.3,80.49
Oklahoma City,2019-09-13,US,wind-speed,87,0.1,6.8,1.7,22.76
Oklahoma City,2019-10-04,US,wind-speed,91,0.1,7.2,3.0,38.29
Oklahoma City,2019-07-27,US,wind-speed,85,0.1,8.7,4.5,55.99
Oklahoma City,2019-08-04,US,wind-speed,68,0.1,6.4,2.0,36.8
Oklahoma City,2019-08-12,US,wind-speed,92,0.1,9.3,5.6,59.56
Oklahoma City,2019-07-15,US,wind-speed,79,0.2,6.4,1.7,27.41
Oklahoma City,2019-07-22,US,wind-speed,94,0.2,13.0,4.7,73.64
Oklahoma City,2019-08-17,US,wind-speed,96,1.2,12.4,6.2,68.88
Oklahoma City,2019-09-10,US,wind-speed,96,0.5,12.6,5.8,89.82
Oklahoma City,2019-10-02,US,wind-speed,86,0.1,15.0,6.6,100.07
Oklahoma City,2019-07-04,US,wind-speed,96,1.7,11.5,6.3,54.05
Oklahoma City,2019-07-16,US,wind-speed,88,0.5,9.2,4.0,34.22
Oklahoma City,2019-08-13,US,wind-speed,89,0.1,6.2,2.0,21.81
Oklahoma City,2019-08-03,US,wind-speed,91,0.1,12.0,2.5,78.98
Oklahoma City,2019-08-05,US,wind-speed,66,0.1,7.8,1.7,33.95
Oklahoma City,2019-09-04,US,wind-speed,59,0.1,6.2,2.2,21.53
Oklahoma City,2019-09-11,US,wind-speed,96,0.2,13.5,6.0,110.52
Oklahoma City,2019-09-24,US,wind-speed,82,0.2,8.2,3.5,49.9
Oklahoma City,2019-07-06,US,wind-speed,71,0.1,7.5,2.0,33.37
Oklahoma City,2019-07-19,US,wind-speed,72,4.0,14.0,7.2,71.77
Oklahoma City,2019-07-30,US,wind-speed,78,0.2,8.5,2.5,48.12
Oklahoma City,2019-08-25,US,wind-speed,70,0.1,12.4,3.0,68.36
Oklahoma City,2019-08-29,US,wind-speed,86,0.1,11.6,5.1,71.65
Oklahoma City,2019-09-06,US,wind-speed,82,0.2,7.8,2.7,28.29
Oklahoma City,2019-09-07,US,wind-speed,80,0.1,8.2,3.5,54.61
Oklahoma City,2019-09-23,US,wind-speed,74,0.2,10.2,2.0,35.05
Oklahoma City,2019-07-29,US,wind-speed,91,0.2,10.5,5.1,71.98
Oklahoma City,2019-07-31,US,wind-speed,89,0.1,10.0,4.6,74.21
Oklahoma City,2019-08-11,US,wind-speed,95,0.5,10.8,5.0,43.98
